"Sage Order#","Proposal Number",Tag#,Product,"Product Description","# of Nets","Item Description","Item Code",QuantityPerNet,TotalQuantity,UOM,Step,"Activity Code","Expected Labor Time","Total Expected Labor Time","Actual Labor Time","Shipping Location","Product Location","Inventory Location","Expected Shipping Date",LOT,Notes,"Ship Weight","Material Cost","Labor Cost"
,011618BS1403,,NF16mm,"16mm Netform;Rope: 16mm Hercules Rope Blue;  Rope: 16mm Hercules Rope Green;  Rope: 16mm Hercules Rope Red/Blue;  Rope: 16mm Hercules Rope Sand;Mesh Size: N/A;  Term : 4"" Pressed Rope;    Term : Huck Nylon Thimbled Loop;    Term : Huck Nylon Thimbled Loop to 2 Eyed SS Shackle;    Term : M10 Lifting Eyenut w/ Nylon Thimbled Loop;Joint Color:Black",1,"16mm Hercules Rope Sand",RNF16SD,0.213,0.213,M,140,CUTL,0.13333,0.13333,,430,000,000,,,,0.71,999999999,999999999
,011618BS1403,,NF16mm,"16mm Netform;Rope: 16mm Hercules Rope Blue;  Rope: 16mm Hercules Rope Green;  Rope: 16mm Hercules Rope Red/Blue;  Rope: 16mm Hercules Rope Sand;Mesh Size: N/A;  Term : 4"" Pressed Rope;    Term : Huck Nylon Thimbled Loop;    Term : Huck Nylon Thimbled Loop to 2 Eyed SS Shackle;    Term : M10 Lifting Eyenut w/ Nylon Thimbled Loop;Joint Color:Black",1,"16mm Hercules Rope Green",RNF16GN,6.606,6.606,M,140,CUTL,0.85,0.85,,430,000,000,,,,0.71,999999999,999999999
,011618BS1403,,NF16mm,"16mm Netform;Rope: 16mm Hercules Rope Blue;  Rope: 16mm Hercules Rope Green;  Rope: 16mm Hercules Rope Red/Blue;  Rope: 16mm Hercules Rope Sand;Mesh Size: N/A;  Term : 4"" Pressed Rope;    Term : Huck Nylon Thimbled Loop;    Term : Huck Nylon Thimbled Loop to 2 Eyed SS Shackle;    Term : M10 Lifting Eyenut w/ Nylon Thimbled Loop;Joint Color:Black",1,"16mm Hercules Rope Red/Blue",RNF16RDBL,1.03,1.03,M,140,CUTL,0.2,0.2,,430,000,000,,,,0.71,999999999,999999999
,011618BS1403,,NF16mm,"16mm Netform;Rope: 16mm Hercules Rope Blue;  Rope: 16mm Hercules Rope Green;  Rope: 16mm Hercules Rope Red/Blue;  Rope: 16mm Hercules Rope Sand;Mesh Size: N/A;  Term : 4"" Pressed Rope;    Term : Huck Nylon Thimbled Loop;    Term : Huck Nylon Thimbled Loop to 2 Eyed SS Shackle;    Term : M10 Lifting Eyenut w/ Nylon Thimbled Loop;Joint Color:Black",1,"16mm Hercules Rope Blue",RNF16BL,3.384,3.384,M,140,CUTL,0.31667,0.31667,,430,000,000,,,,0.71,999999999,999999999
,011618BS1403,,NF16mm,"16mm Netform;Rope: 16mm Hercules Rope Blue;  Rope: 16mm Hercules Rope Green;  Rope: 16mm Hercules Rope Red/Blue;  Rope: 16mm Hercules Rope Sand;Mesh Size: N/A;  Term : 4"" Pressed Rope;    Term : Huck Nylon Thimbled Loop;    Term : Huck Nylon Thimbled Loop to 2 Eyed SS Shackle;    Term : M10 Lifting Eyenut w/ Nylon Thimbled Loop;Joint Color:Black",1,"Term : M10 Lifting Eyenut w/ Nylon Thimbled Loop",ENM10SS,9,9,EA,200,FRP3,0.15,0.15,,430,000,000,,,,0.176,999999999,999999999
,011618BS1403,,NF16mm,"16mm Netform;Rope: 16mm Hercules Rope Blue;  Rope: 16mm Hercules Rope Green;  Rope: 16mm Hercules Rope Red/Blue;  Rope: 16mm Hercules Rope Sand;Mesh Size: N/A;  Term : 4"" Pressed Rope;    Term : Huck Nylon Thimbled Loop;    Term : Huck Nylon Thimbled Loop to 2 Eyed SS Shackle;    Term : M10 Lifting Eyenut w/ Nylon Thimbled Loop;Joint Color:Black",1,"Term : Huck Nylon Thimbled Loop to 2 Eyed SS Shackle",SHKM102ESS,34,34,EA,200,FRP3,0.56667,0.56667,,430,000,000,,,,,999999999,999999999
,011618BS1403,,NF16mm,"16mm Netform;Rope: 16mm Hercules Rope Blue;  Rope: 16mm Hercules Rope Green;  Rope: 16mm Hercules Rope Red/Blue;  Rope: 16mm Hercules Rope Sand;Mesh Size: N/A;  Term : 4"" Pressed Rope;    Term : Huck Nylon Thimbled Loop;    Term : Huck Nylon Thimbled Loop to 2 Eyed SS Shackle;    Term : M10 Lifting Eyenut w/ Nylon Thimbled Loop;Joint Color:Black",1,"Term : Huck Nylon Thimbled Loop to 2 Eyed SS Shackle",AL1633,34,34,EA,299,FRP3,1.13333,1.13333,,430,000,000,,,,0.12,999999999,999999999
,011618BS1403,,NF16mm,"16mm Netform;Rope: 16mm Hercules Rope Blue;  Rope: 16mm Hercules Rope Green;  Rope: 16mm Hercules Rope Red/Blue;  Rope: 16mm Hercules Rope Sand;Mesh Size: N/A;  Term : 4"" Pressed Rope;    Term : Huck Nylon Thimbled Loop;    Term : Huck Nylon Thimbled Loop to 2 Eyed SS Shackle;    Term : M10 Lifting Eyenut w/ Nylon Thimbled Loop;Joint Color:Black",1,"Term : 4"" Pressed Rope",ALGC16E,12,12,EA,299,FRP3,0.4,0.4,,430,000,000,,,,0.136,999999999,999999999
,011618BS1403,,NF16mm,"16mm Netform;Rope: 16mm Hercules Rope Blue;  Rope: 16mm Hercules Rope Green;  Rope: 16mm Hercules Rope Red/Blue;  Rope: 16mm Hercules Rope Sand;Mesh Size: N/A;  Term : 4"" Pressed Rope;    Term : Huck Nylon Thimbled Loop;    Term : Huck Nylon Thimbled Loop to 2 Eyed SS Shackle;    Term : M10 Lifting Eyenut w/ Nylon Thimbled Loop;Joint Color:Black",1,"Term : Huck Nylon Thimbled Loop",AL1633,6,6,EA,299,FRP3,0.2,0.2,,430,000,000,,,,0.12,999999999,999999999
,011618BS1403,,NF16mm,"16mm Netform;Rope: 16mm Hercules Rope Blue;  Rope: 16mm Hercules Rope Green;  Rope: 16mm Hercules Rope Red/Blue;  Rope: 16mm Hercules Rope Sand;Mesh Size: N/A;  Term : 4"" Pressed Rope;    Term : Huck Nylon Thimbled Loop;    Term : Huck Nylon Thimbled Loop to 2 Eyed SS Shackle;    Term : M10 Lifting Eyenut w/ Nylon Thimbled Loop;Joint Color:Black",1,"Term : M10 Lifting Eyenut w/ Nylon Thimbled Loop",AL1633,9,9,EA,299,FRP3,0.3,0.3,,430,000,000,,,,0.12,999999999,999999999
