"Sage Order#","Proposal Number",Tag#,Product,"Product Description","# of Nets","Item Description","Item Code",QuantityPerNet,TotalQuantity,UOM,Step,"Activity Code","Expected Labor Time","Total Expected Labor Time","Actual Labor Time","Shipping Location","Product Location","Inventory Location","Expected Shipping Date",LOT,Notes,"Ship Weight","Material Cost","Labor Cost"
,030618BS1434,,BNS38C,"BayNets Safety System 3/8in Concrete;Pit Size: 3.00 FT x 3.00 FT;Net Size: 2.33 FT x 3.00 FT;Number of Bay(s): 1;Number of System(s) per Bay: 1;Number of Net(s) per System: 1;;Installation Instruction included",1,"8.11 SF PER NET; 8.11 SF PER SYSTEM; 820BK HTPP Black 2.5in Sq; ;MESH COUNT =15 x 12",218-060-06,8.35261,8.35261,SF,050,CUTS,0.016,0.016,,430,181,181,,,,0.0528,999999999,999999999
,030618BS1434,,BNS38C,"BayNets Safety System 3/8in Concrete;Pit Size: 3.00 FT x 3.00 FT;Net Size: 2.33 FT x 3.00 FT;Number of Bay(s): 1;Number of System(s) per Bay: 1;Number of Net(s) per System: 1;;Installation Instruction included",1,"14.00 FT PER NET; 14.00 FT PER SYSTEM; Hog Ring 1-1/2in Galvanized",HR112G,14,14,EA,060,HOGR,0.04667,0.04667,,430,181,181,,,,0.01,999999999,999999999
,030618BS1434,,BNS38C,"BayNets Safety System 3/8in Concrete;Pit Size: 3.00 FT x 3.00 FT;Net Size: 2.33 FT x 3.00 FT;Number of Bay(s): 1;Number of System(s) per Bay: 1;Number of Net(s) per System: 1;;Installation Instruction included",1,"Alum Ferrule 1/2in Soft Rope",AL1236,2,2,EA,070,MFER,0.06667,0.06667,,430,181,181,,,,0.04,999999999,999999999
,030618BS1434,,BNS38C,"BayNets Safety System 3/8in Concrete;Pit Size: 3.00 FT x 3.00 FT;Net Size: 2.33 FT x 3.00 FT;Number of Bay(s): 1;Number of System(s) per Bay: 1;Number of Net(s) per System: 1;;Installation Instruction included",1,"10.67 FT PER NET; 10.67 FT PER SYSTEM; MFP Braid 1/4in x 1000ft Black",RPYB025BK,10.98667,10.98667,FT,080,MLGO,0.05333,0.05333,,430,181,181,,,,0.016,999999999,999999999
,030618BS1434,,BNS38C,"BayNets Safety System 3/8in Concrete;Pit Size: 3.00 FT x 3.00 FT;Net Size: 2.33 FT x 3.00 FT;Number of Bay(s): 1;Number of System(s) per Bay: 1;Number of Net(s) per System: 1;;Installation Instruction included",1,"12.00 FT PER NET; 12.00 FT PER SYSTEM; HTPP ProManila 3 Strand 1/2in x 600ft BlackHTPP ProManila 3 Strand 1/2in ;ROPE MARKING : 8 in - 1.17 ft - 3.00 ft - 2.33  ft - 3.00 ft - 1.17 ft - 8 in",RPS3S050BK,12.35657,12.35657,FT,200,CWS,0.08569,0.08569,,430,181,181,,,,0.044,999999999,999999999
,030618BS1434,,BNS38C,"BayNets Safety System 3/8in Concrete;Pit Size: 3.00 FT x 3.00 FT;Net Size: 2.33 FT x 3.00 FT;Number of Bay(s): 1;Number of System(s) per Bay: 1;Number of Net(s) per System: 1;;Installation Instruction included",1,"1/2in x 2in x 3.25in Mild Steel with Two 3/8in x 2in Welded Threaded Rod
1/2in x 2in x 3.25in Mild Stee",BN-CABLUG-C,4,4,EA,899,PACK,0.06667,0.06667,,430,181,181,,,,0.87,999999999,999999999
,030618BS1434,,BNS38C,"BayNets Safety System 3/8in Concrete;Pit Size: 3.00 FT x 3.00 FT;Net Size: 2.33 FT x 3.00 FT;Number of Bay(s): 1;Number of System(s) per Bay: 1;Number of Net(s) per System: 1;;Installation Instruction included",1,"3/8in x 5.00 FT Cable with thimbled eye/BN-CABLUG-C plate assy, braze other end $.36 / FT + $11.643/8in x5.00 FT CABLE",CAB38BNC,2,2,EA,899,PACK,0.03333,0.03333,,430,181,181,,,,,999999999,999999999
,030618BS1434,,BNS38C,"BayNets Safety System 3/8in Concrete;Pit Size: 3.00 FT x 3.00 FT;Net Size: 2.33 FT x 3.00 FT;Number of Bay(s): 1;Number of System(s) per Bay: 1;Number of Net(s) per System: 1;;Installation Instruction included",1,"3/8 Cable Clamp",CC38G,6,6,EA,899,PACK,0.1,0.1,,430,181,181,,,,0.22,999999999,999999999
,030618BS1434,,BNS38C,"BayNets Safety System 3/8in Concrete;Pit Size: 3.00 FT x 3.00 FT;Net Size: 2.33 FT x 3.00 FT;Number of Bay(s): 1;Number of System(s) per Bay: 1;Number of Net(s) per System: 1;;Installation Instruction included",1,"Epcon for Conrete BayNet Syste",EPCON,1,1,EA,899,PACK,0.01667,0.01667,,430,181,181,,,,0.91,999999999,999999999
,030618BS1434,,BNS38C,"BayNets Safety System 3/8in Concrete;Pit Size: 3.00 FT x 3.00 FT;Net Size: 2.33 FT x 3.00 FT;Number of Bay(s): 1;Number of System(s) per Bay: 1;Number of Net(s) per System: 1;;Installation Instruction included",1,"7/16 Hammer Drill Bit",HDB716,1,1,EA,899,PACK,0.01667,0.01667,,430,181,181,,,,0.17,999999999,999999999
,030618BS1434,,BNS38C,"BayNets Safety System 3/8in Concrete;Pit Size: 3.00 FT x 3.00 FT;Net Size: 2.33 FT x 3.00 FT;Number of Bay(s): 1;Number of System(s) per Bay: 1;Number of Net(s) per System: 1;;Installation Instruction included",1,"Quicklink 10mm ZP",QL10ZP,10,10,EA,899,PACK,0.16667,0.16667,,430,181,181,,,,0.29,999999999,999999999
,030618BS1434,,BNS38C,"BayNets Safety System 3/8in Concrete;Pit Size: 3.00 FT x 3.00 FT;Net Size: 2.33 FT x 3.00 FT;Number of Bay(s): 1;Number of System(s) per Bay: 1;Number of Net(s) per System: 1;;Installation Instruction included",1,"Snap Hook 120mm ZP",SH120ZP,4,4,EA,899,PACK,0.06667,0.06667,,430,181,181,,,,0.39,999999999,999999999
,030618BS1434,,BNS38C,"BayNets Safety System 3/8in Concrete;Pit Size: 3.00 FT x 3.00 FT;Net Size: 2.33 FT x 3.00 FT;Number of Bay(s): 1;Number of System(s) per Bay: 1;Number of Net(s) per System: 1;;Installation Instruction included",1,"1/2 x 6 Jaw  Eye Turnbuckle",TB126G,2,2,EA,899,PACK,0.03333,0.03333,,430,181,181,,,,1.6,999999999,999999999
,030618BS1434,,BNS38C,"BayNets Safety System 3/8in Concrete;Pit Size: 3.00 FT x 3.00 FT;Net Size: 2.33 FT x 3.00 FT;Number of Bay(s): 1;Number of System(s) per Bay: 1;Number of Net(s) per System: 1;;Installation Instruction included",1,"Snap Hook 80mm ZP",SH080ZP,6,6,EA,899,PACK,0.1,0.1,,430,181,181,,,,0.133,999999999,999999999
,030618BS1434,,BNS38C,"BayNets Safety System 3/8in Concrete;Pit Size: 3.00 FT x 3.00 FT;Net Size: 2.33 FT x 3.00 FT;Number of Bay(s): 1;Number of System(s) per Bay: 1;Number of Net(s) per System: 1;;Installation Instruction included",1,"3/8 Galv Thimble",TM38G,2,2,EA,899,PACK,0.03333,0.03333,,430,181,181,,,,0.18,999999999,999999999
,030618BS1434,,BNS38C,"BayNets Safety System 3/8in Concrete;Pit Size: 3.00 FT x 3.00 FT;Net Size: 2.33 FT x 3.00 FT;Number of Bay(s): 1;Number of System(s) per Bay: 1;Number of Net(s) per System: 1;;Installation Instruction included",1,"3/8 x 2.5 Eyebolt Galv Machined Shouldered Full Thread3/8 x 2.5 Eyebolt Galv Machine",EB382.5MSF,4,4,EA,899,PACK,0.06667,0.06667,,430,181,181,,,,0.21,999999999,999999999
,030618BS1434,,1250,"HTPP 2in Sq;Width: 2.00 FT;Length: 2.00 FT;Color: White;Border: None",1,"4.00 SF PER NET; 1250WH HTPP White 2in Sq",209-045-02,4.83528,4.83528,SF,100,CUTS,0.01379,0.01379,,430,181,000,,,,0.0305,999999999,999999999
,030618BS1434,,1250,"HTPP 2in Sq;Width: 2.00 FT;Length: 2.00 FT;Color: White;Border: None",1,"Set up and Other Overhead Costs",SETU,0.25,0.25,HR,999,SETU,0.25,0.25,,430,181,000,,,,,999999999,999999999
,030618BS1434,,PSNCFR,"Custom Personnel Net 3-1/2in Dupont Nylon Mesh FR, 1/2in HTPP Steel Line Rope Border and Hooks per ANSI A10.11-2010; Net Size: 15.00 FT x 2.00 FT",1,"Set up and Other Overhead Costs",SETU,0.25,0.25,,100,SETU,0.00556,0.00556,,430,181,000,,,,,999999999,999999999
