"Sage Order#","Proposal Number",Tag#,Product,"Product Description","# of Nets","Item Description","Item Code",QuantityPerNet,TotalQuantity,UOM,Step,"Activity Code","Expected Labor Time","Total Expected Labor Time","Actual Labor Time","Shipping Location","Product Location","Inventory Location","Expected Shipping Date",LOT,Notes
,072017JR1416,G310,NF18mm,"18mm Netform [NF18mm]",1,"18mm Hercules Rope Black - Fiber Core",RNF18BK-FC,6.432,6.432,M,140,CUTP,0,0,,000,181,181,,,
,072017JR1416,G310,NF18mm,"18mm Netform [NF18mm]",1,"18mm Hercules Rope Black - Fiber Core",RNF18BK-FC,13.264,13.264,M,140,CUTP,0,0,,000,181,181,,,
,072017JR1416,G310,NF18mm,"18mm Netform [NF18mm]",1,"18mm Hercules Rope Black - Fiber Core",RNF18BK-FC,18.312,18.312,M,140,CUTP,0,0,,000,181,181,,,
,072017JR1416,G310,NF18mm,"18mm Netform [NF18mm]",1,"Aluminum Knot-Ball 18mm 400/box",H444-18-VP,48,48,EA,299,FRP8,0,0,,000,181,181,,,
,072017JR1416,G310,NF18mm,"18mm Netform [NF18mm]",1," 3/8"" -16 Threaded Stud",ALBJ6061,4,4,EA,299,FRP3,0,0,,000,181,181,,,
,072017JR1416,G310,NF18mm,"18mm Netform [NF18mm]",1," Huck Aluminum T",H445-18-VP,12,12,EA,299,FRP7,0,0,,000,181,181,,,
,072017JR1416,G310,NF18mm,"18mm Netform [NF18mm]",1," 3/8"" -16 Threaded Stud",ALBJ6061,2,2,EA,299,FRP3,0,0,,000,181,181,,,
,072017JR1416,G310,NF18mm,"18mm Netform [NF18mm]",1," 3/8"" -16 Threaded Stud",ALBJ6061,4,4,EA,299,FRP3,0,0,,000,181,181,,,
,072017JR1416,G310,NF18mm,"18mm Netform [NF18mm]",1," 3/8"" -16 Threaded Stud",ALBJ6061,2,2,EA,299,FRP3,0,0,,000,181,181,,,
,072017JR1416,G310,NF18mm,"18mm Netform [NF18mm]",1," Huck Aluminum T",H445-18-VP,12,12,EA,299,FRP7,0,0,,000,181,181,,,
,072017JR1416,G310,NF18mm,"18mm Netform [NF18mm]",1," Huck Aluminum T",H438-18-VPS,12,12,EA,299,FRP6,0,0,,000,181,181,,,
,072017JR1416,G310,NF18mm,"18mm Netform [NF18mm]",1," Huck Aluminum T",H438-18-VPS,12,12,EA,299,FRP6,0,0,,000,181,181,,,
,072017JR1416,G310,NF18mm,"18mm Netform [NF18mm]",1," 3/8"" -16 Threaded Stud",THR38SS,4,4,FT,599,FRP4,0,0,,000,181,181,,,
,072017JR1416,G310,NF18mm,"18mm Netform [NF18mm]",1," 3/8"" -16 Threaded Stud",THR38SS,4,4,FT,599,FRP4,0,0,,000,181,181,,,
,072017JR1416,G310,NF18mm,"18mm Netform [NF18mm]",1," 3/8"" -16 Threaded Stud",THR38SS,2,2,FT,599,FRP4,0,0,,000,181,181,,,
,072017JR1416,G310,NF18mm,"18mm Netform [NF18mm]",1," 3/8"" -16 Threaded Stud",THR38SS,2,2,FT,599,FRP4,0,0,,000,181,181,,,
