"Sage Order#","Proposal Number",Tag#,Product,"Product Description","# of Nets","Item Description","Item Code",Quantity,UOM,Step,"Activity Code","Expected Labor Time","Actual Labor Time","Shipping Location","Product Location","Inventory Location","Expected Shipping Date",LOT,Notes
,080317JM1654,"PSN Tag",PSNC," Net Size: 22.00 FT x 12.00 FT Serial #:",1,"HTPP Polysteel 3 Strand 1/2in x 1,000mHTPP Polysteel 3 Strand 1/2in",RPS3S050BK,70.33,FT,120,CWS,0.50236,,000,181,181,,,
,080317JM1654,"PSN Tag",PSNC," Net Size: 22.00 FT x 12.00 FT Serial #:",1,"Snap Hook 120mm ZP",SH120ZP,30,EA,120,ASY,0.5,,000,181,181,,,
,080317JM1654,"PSN Tag",PSNC," Net Size: 22.00 FT x 12.00 FT Serial #:",1,"Art No 2017G Black Plastic Thimble for Corner Attachment Please ship with Attachment Screws
Art No 2017G Black Plastic Thi",TMPSN,4,EA,120,DRIL,0.13333,,000,181,181,,,
,080317JM1654,"PSN Tag",PSNC," Net Size: 22.00 FT x 12.00 FT Serial #:",1,"Short Double Loop Tag Clip for Metal Tag for Personnel Safety NetShort Double Loop Tag Clip for",TC-PSN,1,EA,120,ATT,0.03333,,000,181,000,,,
,080317JM1654,"PSN Tag",PSNC," Net Size: 22.00 FT x 12.00 FT Serial #:",1,"Set up and Other Overhead Costs",SETU,0.25,,999,SETU,0.00556,,000,181,181,,,
,080317JM1654,"PSN Tag",PSNC," Net Size: 22.00 FT x 12.00 FT Serial #:",1,"HTPP Polysteel 3 Strand 1/2in x 1,000mHTPP Polysteel 3 Strand 1/2in",RPS3S050BK,70.33,FT,120,CWS,0.50236,,000,181,181,,,
,080317JM1654,"PSN Tag",PSNC," Net Size: 22.00 FT x 12.00 FT Serial #:",1,"Snap Hook 120mm ZP",SH120ZP,30,EA,120,ASY,0.5,,000,181,181,,,
,080317JM1654,"PSN Tag",PSNC," Net Size: 22.00 FT x 12.00 FT Serial #:",1,"Art No 2017G Black Plastic Thimble for Corner Attachment Please ship with Attachment Screws
Art No 2017G Black Plastic Thi",TMPSN,4,EA,120,DRIL,0.13333,,000,181,181,,,
,080317JM1654,"PSN Tag",PSNC," Net Size: 22.00 FT x 12.00 FT Serial #:",1,"Short Double Loop Tag Clip for Metal Tag for Personnel Safety NetShort Double Loop Tag Clip for",TC-PSN,1,EA,120,ATT,0.03333,,000,181,000,,,
,080317JM1654,"PSN Tag",PSNC," Net Size: 22.00 FT x 12.00 FT Serial #:",1,"Metal Tag for Personnel Safety NetMetal Tag for Personnel Safety",MT-PSN,1,EA,120,ATT,0.03333,,000,181,000,,,
,080317JM1654,"PSN Tag",PSNC," Net Size: 22.00 FT x 12.00 FT Serial #:",1,"Set up and Other Overhead Costs",SETU,0.25,,999,SETU,0.00556,,000,181,181,,,
,080317JM1654,"PSN Tag",PSNC," Net Size: 22.00 FT x 12.00 FT Serial #:",1,"210/378 Ply Knotted Nylon FR, 7in Str x 60MD x 700ML Expanded Single Selvedge, Dyed Black and Bonded (575lb Bale)",120-089-06-25FR,264,SF,120,CUTD,0.22661,,000,181,181,,,
,080317JM1654,"PSN Tag",PSNC," Net Size: 22.00 FT x 12.00 FT Serial #:",1,"HTPP Polysteel 3 Strand 1/2in x 1,000mHTPP Polysteel 3 Strand 1/2in",RPS3S050BK,70.33,FT,120,CWS,0.50236,,000,181,181,,,
,080317JM1654,"PSN Tag",PSNC," Net Size: 22.00 FT x 12.00 FT Serial #:",1,"Snap Hook 120mm ZP",SH120ZP,30,EA,120,ASY,0.5,,000,181,181,,,
,080317JM1654,"PSN Tag",PSNC," Net Size: 22.00 FT x 12.00 FT Serial #:",1,"Art No 2017G Black Plastic Thimble for Corner Attachment Please ship with Attachment Screws
Art No 2017G Black Plastic Thi",TMPSN,4,EA,120,DRIL,0.13333,,000,181,181,,,
,080317JM1654,"PSN Tag",PSNC," Net Size: 22.00 FT x 12.00 FT Serial #:",1,"Short Double Loop Tag Clip for Metal Tag for Personnel Safety NetShort Double Loop Tag Clip for",TC-PSN,1,EA,120,ATT,0.03333,,000,181,000,,,
,080317JM1654,"PSN Tag",PSNC," Net Size: 22.00 FT x 12.00 FT Serial #:",1,"Metal Tag for Personnel Safety NetMetal Tag for Personnel Safety",MT-PSN,1,EA,120,ATT,0.03333,,000,181,000,,,
,080317JM1654,"PSN Tag",PSNC," Net Size: 22.00 FT x 12.00 FT Serial #:",1,"Set up and Other Overhead Costs",SETU,0.25,,999,SETU,0.00556,,000,181,181,,,
