"Sage Order#","Proposal Number",Tag#,Product,"Product Description","# of Nets","Item Description","Item Code",QuantityPerNet,TotalQuantity,UOM,Step,"Activity Code","Expected Labor Time","Total Expected Labor Time","Actual Labor Time","Shipping Location","Product Location","Inventory Location","Expected Shipping Date",LOT,Notes
,080317JR1620,307498-16,NF16mm,"16mm Netform; Rope: 16mm Hercules Rope Black  16.25  FT;  Rope: 16mm Hercules Rope Black  18.88  FT;  Rope: 16mm Hercules Rope Black  35.52  FT;  Rope: 16mm Hercules Rope Black  45.47  FT; Mesh Size: N/A;   Term : Huck Standard T BK/SD;    Term : M10 Lifting Eyenut w/ Nylon Thimbled Loop;    Term : Pressed AL1633 aluminium ferrule Termination;  Joint Color:Black",1,"16mm Hercules Rope Black",RNF16BK,5.754,5.754,M,140,CUTL,0.23333,0.23333,,000,181,181,,,
,080317JR1620,307498-16,NF16mm,"16mm Netform; Rope: 16mm Hercules Rope Black  16.25  FT;  Rope: 16mm Hercules Rope Black  18.88  FT;  Rope: 16mm Hercules Rope Black  35.52  FT;  Rope: 16mm Hercules Rope Black  45.47  FT; Mesh Size: N/A;   Term : Huck Standard T BK/SD;    Term : M10 Lifting Eyenut w/ Nylon Thimbled Loop;    Term : Pressed AL1633 aluminium ferrule Termination;  Joint Color:Black",1,"16mm Hercules Rope Black",RNF16BK,10.828,10.828,M,140,CUTL,0.18333,0.18333,,000,181,181,,,
,080317JR1620,307498-16,NF16mm,"16mm Netform; Rope: 16mm Hercules Rope Black  16.25  FT;  Rope: 16mm Hercules Rope Black  18.88  FT;  Rope: 16mm Hercules Rope Black  35.52  FT;  Rope: 16mm Hercules Rope Black  45.47  FT; Mesh Size: N/A;   Term : Huck Standard T BK/SD;    Term : M10 Lifting Eyenut w/ Nylon Thimbled Loop;    Term : Pressed AL1633 aluminium ferrule Termination;  Joint Color:Black",1,"16mm Hercules Rope Black",RNF16BK,4.952,4.952,M,140,CUTL,0.25,0.25,,000,181,181,,,
,080317JR1620,307498-16,NF16mm,"16mm Netform; Rope: 16mm Hercules Rope Black  16.25  FT;  Rope: 16mm Hercules Rope Black  18.88  FT;  Rope: 16mm Hercules Rope Black  35.52  FT;  Rope: 16mm Hercules Rope Black  45.47  FT; Mesh Size: N/A;   Term : Huck Standard T BK/SD;    Term : M10 Lifting Eyenut w/ Nylon Thimbled Loop;    Term : Pressed AL1633 aluminium ferrule Termination;  Joint Color:Black",1,"16mm Hercules Rope Black",RNF16BK,13.86,13.86,M,140,CUTL,0.21667,0.21667,,000,181,181,,,
,080317JR1620,307498-16,NF16mm,"16mm Netform; Rope: 16mm Hercules Rope Black  16.25  FT;  Rope: 16mm Hercules Rope Black  18.88  FT;  Rope: 16mm Hercules Rope Black  35.52  FT;  Rope: 16mm Hercules Rope Black  45.47  FT; Mesh Size: N/A;   Term : Huck Standard T BK/SD;    Term : M10 Lifting Eyenut w/ Nylon Thimbled Loop;    Term : Pressed AL1633 aluminium ferrule Termination;  Joint Color:Black",1,"Term : Huck Standard T BK/SD",HT445BK,7,7,EA,200,FRP3,0.11667,0.11667,,000,181,181,,,
,080317JR1620,307498-16,NF16mm,"16mm Netform; Rope: 16mm Hercules Rope Black  16.25  FT;  Rope: 16mm Hercules Rope Black  18.88  FT;  Rope: 16mm Hercules Rope Black  35.52  FT;  Rope: 16mm Hercules Rope Black  45.47  FT; Mesh Size: N/A;   Term : Huck Standard T BK/SD;    Term : M10 Lifting Eyenut w/ Nylon Thimbled Loop;    Term : Pressed AL1633 aluminium ferrule Termination;  Joint Color:Black",1,"Term : Huck Standard T BK/SD",HT445BK,8,8,EA,200,FRP3,0.13333,0.13333,,000,181,181,,,
,080317JR1620,307498-16,NF16mm,"16mm Netform; Rope: 16mm Hercules Rope Black  16.25  FT;  Rope: 16mm Hercules Rope Black  18.88  FT;  Rope: 16mm Hercules Rope Black  35.52  FT;  Rope: 16mm Hercules Rope Black  45.47  FT; Mesh Size: N/A;   Term : Huck Standard T BK/SD;    Term : M10 Lifting Eyenut w/ Nylon Thimbled Loop;    Term : Pressed AL1633 aluminium ferrule Termination;  Joint Color:Black",1,"Term : Huck Standard T BK/SD",HT445BK,7,7,EA,200,FRP3,0.11667,0.11667,,000,181,181,,,
,080317JR1620,307498-16,NF16mm,"16mm Netform; Rope: 16mm Hercules Rope Black  16.25  FT;  Rope: 16mm Hercules Rope Black  18.88  FT;  Rope: 16mm Hercules Rope Black  35.52  FT;  Rope: 16mm Hercules Rope Black  45.47  FT; Mesh Size: N/A;   Term : Huck Standard T BK/SD;    Term : M10 Lifting Eyenut w/ Nylon Thimbled Loop;    Term : Pressed AL1633 aluminium ferrule Termination;  Joint Color:Black",1,"Term : Huck Standard T BK/SD",HT445BK,8,8,EA,200,FRP3,0.13333,0.13333,,000,181,181,,,
,080317JR1620,307498-16,NF16mm,"16mm Netform; Rope: 16mm Hercules Rope Black  16.25  FT;  Rope: 16mm Hercules Rope Black  18.88  FT;  Rope: 16mm Hercules Rope Black  35.52  FT;  Rope: 16mm Hercules Rope Black  45.47  FT; Mesh Size: N/A;   Term : Huck Standard T BK/SD;    Term : M10 Lifting Eyenut w/ Nylon Thimbled Loop;    Term : Pressed AL1633 aluminium ferrule Termination;  Joint Color:Black",1,"Term : Huck Standard T BK/SD",HT445BK,6,6,EA,200,FRP3,0.1,0.1,,000,181,181,,,
,080317JR1620,307498-16,NF16mm,"16mm Netform; Rope: 16mm Hercules Rope Black  16.25  FT;  Rope: 16mm Hercules Rope Black  18.88  FT;  Rope: 16mm Hercules Rope Black  35.52  FT;  Rope: 16mm Hercules Rope Black  45.47  FT; Mesh Size: N/A;   Term : Huck Standard T BK/SD;    Term : M10 Lifting Eyenut w/ Nylon Thimbled Loop;    Term : Pressed AL1633 aluminium ferrule Termination;  Joint Color:Black",1,"Term : M10 Lifting Eyenut w/ Nylon Thimbled Loop",ENM10SS,4,4,EA,200,FRP3,0.06667,0.06667,,000,181,181,,,
