"Sage Order#","Proposal Number",Tag#,Product,"Product Description","# of Nets","Item Description","Item Code",Quantity,UOM,Step,"Activity Code","Expected Labor Time","Actual Labor Time","Shipping Location","Product Location","Inventory Location","Expected Shipping Date",LOT,Notes
,080417BH0754,,XUA10,"10ft Ext w/ UBolts & Cable Kit",1,"1 x 6 Backstrip",BS6,1,EA,100,ASY,,,000,181,430,,,
,080417BH0754,,XUA10,"10ft Ext w/ UBolts & Cable Kit",1,"3/8 x 6.0 Eyebolt Galv 2-1/2in Thread",EB386.0G,1,EA,100,ASY,,,000,181,430,,,
,080417BH0754,,XUA10,"10ft Ext w/ UBolts & Cable Kit",1,"3/8 Locknut w/ Nylon Insert",LN38,4,EA,100,ASY,,,000,181,430,,,
,080417BH0754,,XUA10,"10ft Ext w/ UBolts & Cable Kit",1,"3/8 x 4 x 7 U-Bolt 4in Thread",UB4X7,1,EA,100,ASY,,,000,181,430,,,
,080417BH0754,,XUA10,"10ft Ext w/ UBolts & Cable Kit",1,"10 ft Extension",X10,1,EA,100,ASY,,,000,181,430,,,
,080417BH0754,,XUA10,"10ft Ext w/ UBolts & Cable Kit",1,"1/4in x 11ft Galv Cable with one end pressed with 1/4in Galv Thimble and 3/8 x 2.5 Galv Eyebolt",XCAB,1,EA,100,ASY,,,000,181,430,,,
,080417BH0754,,XUA10,"10ft Ext w/ UBolts & Cable Kit",1,"Extension Shim with Adhesive",XS600,4,EA,100,ASY,,,000,181,000,,,
,080417BH0754,,XUA10,"10ft Ext w/ UBolts & Cable Kit",1,"1/4 Galv Cable Clamp",CC14G,3,EA,100,ASY,,,000,181,000,,,
,080417BH0754,,XUA10,"10ft Ext w/ UBolts & Cable Kit",1,"3/8 Flange Nut",FN38,8,EA,100,ASY,,,000,181,430,,,
,080417BH0754,,XUA10,"10ft Ext w/ UBolts & Cable Kit",1,"1/4 Thimble Galv",TM14G,1,EA,100,ASY,,,000,181,430,,,
,080417BH0754,,XUA10,"10ft Ext w/ UBolts & Cable Kit",1,"3/8 x 4 x 5.5 U-Bolt 4in Thread",UB4X55,4,EA,100,ASY,,,000,181,430,,,
