"Sage Order#","Proposal Number",Tag#,Product,"Product Description","# of Nets","Item Description","Item Code",Quantity,UOM,Step,"Activity Code","Expected Labor Time","Actual Labor Time","Shipping Location","Product Location","Inventory Location","Expected Shipping Date",LOT,Notes
,080417CC0829,,BNS38,"BayNets Safety System 3/8in Standard; Pit Size: 42.00 FT x 6.00 FT ; Net Size 42.00 FT x    5.33 FT",1,"820BK HTPP Black 2.5in Sq (Length=   42.00 FT, Width=   5.33 FT, Area =   233.85 SF, Mesh Count= 213 x   27)",218-060-06,233.84533,SF,050,CUTS,0.128,,000,181,000,,,
,080417CC0829,,BNS38,"BayNets Safety System 3/8in Standard; Pit Size: 42.00 FT x 6.00 FT ; Net Size 42.00 FT x    5.33 FT",1,"Alum Ferrule 1/2in Soft Rope",AL1236,2,EA,050,FRP3,0.06667,,000,181,181,,,
,080417CC0829,,BNS38,"BayNets Safety System 3/8in Standard; Pit Size: 42.00 FT x 6.00 FT ; Net Size 42.00 FT x    5.33 FT",1,"HTPP ProManila 3 Strand 1/2in x 600ft BlackHTPP ProManila 3 Strand 1/2in",RPS3S050BK,95.99667,FT,200,CWS,0.68569,,000,181,181,,,
,080417CC0829,,BNS38,"BayNets Safety System 3/8in Standard; Pit Size: 42.00 FT x 6.00 FT ; Net Size 42.00 FT x    5.33 FT",1,"Polyester Braid 1/4in x 1000ft BlackPolyester Braid 1/4in x 1000ft",RPYB025BK,94.66667,FT,200,MLGO,0.47333,,000,181,000,,,
,080417CC0829,,BNS38,"BayNets Safety System 3/8in Standard; Pit Size: 42.00 FT x 6.00 FT ; Net Size 42.00 FT x    5.33 FT",1,"Hog Ring 1-1/2in Galvanized",HR112G,81,EA,050,HOGR,0.27,,000,181,181,,,
,080417CC0829,,BNS38,"BayNets Safety System 3/8in Standard; Pit Size: 42.00 FT x 6.00 FT ; Net Size 42.00 FT x    5.33 FT",1,"1/2in x 2in x 3.25in Mild Steel with Two 5/8in Drill Thrus1/2in x 2in x 3.25in Mild Stee",BN-CABLUG,2,EA,899,PACK,0.03333,,000,181,181,,,
,080417CC0829,,BNS38,"BayNets Safety System 3/8in Standard; Pit Size: 42.00 FT x 6.00 FT ; Net Size 42.00 FT x    5.33 FT",1,"3/8in x 45ft 7x19 GAC w/ Thimble Eye and Plate Assy, Tape other End
3/8in x 45ft 7x19 GAC w/ Thimb",CAB3845BN,2,EA,899,PACK,0.03333,,000,181,181,,,
,080417CC0829,,BNS38,"BayNets Safety System 3/8in Standard; Pit Size: 42.00 FT x 6.00 FT ; Net Size 42.00 FT x    5.33 FT",1,"3/8 Cable Clamp",CC38G,6,EA,899,PACK,0.1,,000,181,181,,,
,080417CC0829,,BNS38,"BayNets Safety System 3/8in Standard; Pit Size: 42.00 FT x 6.00 FT ; Net Size 42.00 FT x    5.33 FT",1,"Pad Eye 3/8 Weldable
3/4"" I.D.Pad Eye 3/8 Weldable",PE38F,8,EA,899,PACK,0.13333,,000,181,181,,,
,080417CC0829,,BNS38,"BayNets Safety System 3/8in Standard; Pit Size: 42.00 FT x 6.00 FT ; Net Size 42.00 FT x    5.33 FT",1,"Quicklink 10mm ZP",QL10ZP,72,EA,899,PACK,1.2,,000,181,181,,,
,080417CC0829,,BNS38,"BayNets Safety System 3/8in Standard; Pit Size: 42.00 FT x 6.00 FT ; Net Size 42.00 FT x    5.33 FT",1,"Snap Hook 80mm ZP",SH080ZP,10,EA,899,PACK,0.16667,,000,181,000,,,
,080417CC0829,,BNS38,"BayNets Safety System 3/8in Standard; Pit Size: 42.00 FT x 6.00 FT ; Net Size 42.00 FT x    5.33 FT",1,"Snap Hook 120mm ZP",SH120ZP,4,EA,899,PACK,0.06667,,000,181,181,,,
,080417CC0829,,BNS38,"BayNets Safety System 3/8in Standard; Pit Size: 42.00 FT x 6.00 FT ; Net Size 42.00 FT x    5.33 FT",1,"1/2 x 6 Jaw  Eye Turnbuckle",TB126G,2,EA,899,PACK,0.03333,,000,181,181,,,
,080417CC0829,,BNS38,"BayNets Safety System 3/8in Standard; Pit Size: 42.00 FT x 6.00 FT ; Net Size 42.00 FT x    5.33 FT",1,"3/8 Galv Thimble",TM38G,2,EA,899,PACK,0.03333,,000,181,181,,,
