"Sage Order#","Proposal Number",Tag#,Product,"Product Description","# of Nets","Item Description","Item Code",Quantity,UOM,Step,"Activity Code","Expected Labor Time","Actual Labor Time","Shipping Location","Product Location","Inventory Location","Expected Shipping Date",LOT,Notes
,080417JM0819,,ROCBLOC-2K,"2K RocBloc; Width:13.00 FT; Length: 24.00 FT; Mesh Color: Black; ",1,"138 Polyester Bobbins",BBPY138UBK,2,EA,567,SEWT,,,000,181,000,,,
,080417JM0819,,ROCBLOC-2K,"2K RocBloc; Width:13.00 FT; Length: 24.00 FT; Mesh Color: Black; ",1,"DNR900 Polyester Knit Mesh 3/8",RPY38BKFR,312,SF,100,CUTS,0.09867,,000,181,181,,,
,080417JM0819,,ROCBLOC-2K,"2K RocBloc; Width:13.00 FT; Length: 24.00 FT; Mesh Color: Black; ",1,"Webbing Polypropylene 3in Whit",WPP300WH,74,FT,200,MDBL,0.4625,,000,181,000,,,
,080417JM0819,,ROCBLOC-2K,"2K RocBloc; Width:13.00 FT; Length: 24.00 FT; Mesh Color: Black; ",1,"BDZ 138 Polyester Black 1111 B",THPY138BK,74,FT,567,SEWT,0.185,,000,181,000,,,
,080417JM0819,,ROCBLOC-2K,"2K RocBloc; Width:13.00 FT; Length: 24.00 FT; Mesh Color: Black; ",1,"Spur Long Barrel Eyelet  Washer Nickel2 Spur Long Barrel Eyelet  W",GMT-SP2,76,EA,240,GRMT,0.925,,000,181,000,,,
,080417JM0819,,ROCBLOC-2K,"2K RocBloc; Width:13.00 FT; Length: 24.00 FT; Mesh Color: Black; ",1,"1250BK HTPP Black 2in Sq",209-045-06,312,SF,100,CUTS,0.12759,,000,181,000,,,
,080417JM0819,,ROCBLOC-5K,"2K RocBloc; Width:13.00 FT; Length: 24.00 FT; Mesh Color: Black; ",1,"820BK HTPP Black 2.5in Sq",218-060-06,3136,SF,100,CUTS,0.29867,,000,181,000,,,
,080417JM0819,,ROCBLOC-2K,"5K RocBloc; Width:56.00 FT; Length: 56.00 FT; Mesh Color: Black; ",1,"138 Polyester Bobbins",BBPY138UBK,2,EA,567,SEWT,,,000,181,000,,,
,080417JM0819,,ROCBLOC-2K,"5K RocBloc; Width:56.00 FT; Length: 56.00 FT; Mesh Color: Black; ",1,"DNR900 Polyester Knit Mesh 3/8",RPY38BKFR,312,SF,100,CUTS,0.09867,,000,181,181,,,
,080417JM0819,,ROCBLOC-2K,"5K RocBloc; Width:56.00 FT; Length: 56.00 FT; Mesh Color: Black; ",1,"Webbing Polypropylene 3in Whit",WPP300WH,74,FT,200,MDBL,0.4625,,000,181,000,,,
,080417JM0819,,ROCBLOC-2K,"5K RocBloc; Width:56.00 FT; Length: 56.00 FT; Mesh Color: Black; ",1,"BDZ 138 Polyester Black 1111 B",THPY138BK,74,FT,567,SEWT,0.185,,000,181,000,,,
,080417JM0819,,ROCBLOC-2K,"5K RocBloc; Width:56.00 FT; Length: 56.00 FT; Mesh Color: Black; ",1,"Spur Long Barrel Eyelet  Washer Nickel2 Spur Long Barrel Eyelet  W",GMT-SP2,76,EA,240,GRMT,0.925,,000,181,000,,,
,080417JM0819,,ROCBLOC-2K,"5K RocBloc; Width:56.00 FT; Length: 56.00 FT; Mesh Color: Black; ",1,"1250BK HTPP Black 2in Sq",209-045-06,312,SF,100,CUTS,0.12759,,000,181,000,,,
,080417JM0819,,ROCBLOC-5K,"5K RocBloc; Width:56.00 FT; Length: 56.00 FT; Mesh Color: Black; ",1,"820BK HTPP Black 2.5in Sq",218-060-06,3136,SF,100,CUTS,0.29867,,000,181,000,,,
