"Sage Order#","Proposal Number",Tag#,Product,"Product Description","# of Nets","Item Description","Item Code",QuantityPerNet,TotalQuantity,UOM,Step,"Activity Code","Expected Labor Time","Total Expected Labor Time","Actual Labor Time","Shipping Location","Product Location","Inventory Location","Expected Shipping Date",LOT,Notes
,080417JR1401,313272-16,NF16mm,"16mm Netform; Rope: 16mm Hercules Rope Black  1.60  FT;  Rope: 16mm Hercules Rope Black  2.13  FT;  Rope: 16mm Hercules Rope Black  2.42  FT;  Rope: 16mm Hercules Rope Black  3.25  FT;  Rope: 16mm Hercules Rope Black  3.26  FT;  Rope: 16mm Hercules Rope Black  4.39  FT;  Rope: 16mm Hercules Rope Black  5.32  FT;  Rope: 16mm Hercules Rope Black  6.33  FT; Mesh Size: N/A;   Term : 5/8 SS Lifting Eyenut w/ Nylon Thimbled Loop;    Term : Huck Standard T BK/SD;  Joint Color:Black",1,"16mm Hercules Rope Black",RNF16BK,1.9293,1.9293,M,140,CUTL,0.13333,0.13333,,000,181,181,,,
,080417JR1401,313272-16,NF16mm,"16mm Netform; Rope: 16mm Hercules Rope Black  1.60  FT;  Rope: 16mm Hercules Rope Black  2.13  FT;  Rope: 16mm Hercules Rope Black  2.42  FT;  Rope: 16mm Hercules Rope Black  3.25  FT;  Rope: 16mm Hercules Rope Black  3.26  FT;  Rope: 16mm Hercules Rope Black  4.39  FT;  Rope: 16mm Hercules Rope Black  5.32  FT;  Rope: 16mm Hercules Rope Black  6.33  FT; Mesh Size: N/A;   Term : 5/8 SS Lifting Eyenut w/ Nylon Thimbled Loop;    Term : Huck Standard T BK/SD;  Joint Color:Black",1,"16mm Hercules Rope Black",RNF16BK,1.6213,1.6213,M,140,CUTL,0.13333,0.13333,,000,181,181,,,
,080417JR1401,313272-16,NF16mm,"16mm Netform; Rope: 16mm Hercules Rope Black  1.60  FT;  Rope: 16mm Hercules Rope Black  2.13  FT;  Rope: 16mm Hercules Rope Black  2.42  FT;  Rope: 16mm Hercules Rope Black  3.25  FT;  Rope: 16mm Hercules Rope Black  3.26  FT;  Rope: 16mm Hercules Rope Black  4.39  FT;  Rope: 16mm Hercules Rope Black  5.32  FT;  Rope: 16mm Hercules Rope Black  6.33  FT; Mesh Size: N/A;   Term : 5/8 SS Lifting Eyenut w/ Nylon Thimbled Loop;    Term : Huck Standard T BK/SD;  Joint Color:Black",1,"16mm Hercules Rope Black",RNF16BK,1.3387,1.3387,M,140,CUTL,0.13333,0.13333,,000,181,181,,,
,080417JR1401,313272-16,NF16mm,"16mm Netform; Rope: 16mm Hercules Rope Black  1.60  FT;  Rope: 16mm Hercules Rope Black  2.13  FT;  Rope: 16mm Hercules Rope Black  2.42  FT;  Rope: 16mm Hercules Rope Black  3.25  FT;  Rope: 16mm Hercules Rope Black  3.26  FT;  Rope: 16mm Hercules Rope Black  4.39  FT;  Rope: 16mm Hercules Rope Black  5.32  FT;  Rope: 16mm Hercules Rope Black  6.33  FT; Mesh Size: N/A;   Term : 5/8 SS Lifting Eyenut w/ Nylon Thimbled Loop;    Term : Huck Standard T BK/SD;  Joint Color:Black",1,"16mm Hercules Rope Black",RNF16BK,0.9927,0.9927,M,140,CUTL,0.13333,0.13333,,000,181,181,,,
,080417JR1401,313272-16,NF16mm,"16mm Netform; Rope: 16mm Hercules Rope Black  1.60  FT;  Rope: 16mm Hercules Rope Black  2.13  FT;  Rope: 16mm Hercules Rope Black  2.42  FT;  Rope: 16mm Hercules Rope Black  3.25  FT;  Rope: 16mm Hercules Rope Black  3.26  FT;  Rope: 16mm Hercules Rope Black  4.39  FT;  Rope: 16mm Hercules Rope Black  5.32  FT;  Rope: 16mm Hercules Rope Black  6.33  FT; Mesh Size: N/A;   Term : 5/8 SS Lifting Eyenut w/ Nylon Thimbled Loop;    Term : Huck Standard T BK/SD;  Joint Color:Black",1,"16mm Hercules Rope Black",RNF16BK,0.6498,0.6498,M,140,CUTL,0.13333,0.13333,,000,181,181,,,
,080417JR1401,313272-16,NF16mm,"16mm Netform; Rope: 16mm Hercules Rope Black  1.60  FT;  Rope: 16mm Hercules Rope Black  2.13  FT;  Rope: 16mm Hercules Rope Black  2.42  FT;  Rope: 16mm Hercules Rope Black  3.25  FT;  Rope: 16mm Hercules Rope Black  3.26  FT;  Rope: 16mm Hercules Rope Black  4.39  FT;  Rope: 16mm Hercules Rope Black  5.32  FT;  Rope: 16mm Hercules Rope Black  6.33  FT; Mesh Size: N/A;   Term : 5/8 SS Lifting Eyenut w/ Nylon Thimbled Loop;    Term : Huck Standard T BK/SD;  Joint Color:Black",1,"16mm Hercules Rope Black",RNF16BK,0.4872,0.4872,M,140,CUTL,0.13333,0.13333,,000,181,181,,,
,080417JR1401,313272-16,NF16mm,"16mm Netform; Rope: 16mm Hercules Rope Black  1.60  FT;  Rope: 16mm Hercules Rope Black  2.13  FT;  Rope: 16mm Hercules Rope Black  2.42  FT;  Rope: 16mm Hercules Rope Black  3.25  FT;  Rope: 16mm Hercules Rope Black  3.26  FT;  Rope: 16mm Hercules Rope Black  4.39  FT;  Rope: 16mm Hercules Rope Black  5.32  FT;  Rope: 16mm Hercules Rope Black  6.33  FT; Mesh Size: N/A;   Term : 5/8 SS Lifting Eyenut w/ Nylon Thimbled Loop;    Term : Huck Standard T BK/SD;  Joint Color:Black",1,"16mm Hercules Rope Black",RNF16BK,0.7389,0.7389,M,140,CUTL,0.13333,0.13333,,000,181,181,,,
,080417JR1401,313272-16,NF16mm,"16mm Netform; Rope: 16mm Hercules Rope Black  1.60  FT;  Rope: 16mm Hercules Rope Black  2.13  FT;  Rope: 16mm Hercules Rope Black  2.42  FT;  Rope: 16mm Hercules Rope Black  3.25  FT;  Rope: 16mm Hercules Rope Black  3.26  FT;  Rope: 16mm Hercules Rope Black  4.39  FT;  Rope: 16mm Hercules Rope Black  5.32  FT;  Rope: 16mm Hercules Rope Black  6.33  FT; Mesh Size: N/A;   Term : 5/8 SS Lifting Eyenut w/ Nylon Thimbled Loop;    Term : Huck Standard T BK/SD;  Joint Color:Black",1,"16mm Hercules Rope Black",RNF16BK,0.9905,0.9905,M,140,CUTL,0.13333,0.13333,,000,181,181,,,
,080417JR1401,313272-16,NF16mm,"16mm Netform; Rope: 16mm Hercules Rope Black  1.60  FT;  Rope: 16mm Hercules Rope Black  2.13  FT;  Rope: 16mm Hercules Rope Black  2.42  FT;  Rope: 16mm Hercules Rope Black  3.25  FT;  Rope: 16mm Hercules Rope Black  3.26  FT;  Rope: 16mm Hercules Rope Black  4.39  FT;  Rope: 16mm Hercules Rope Black  5.32  FT;  Rope: 16mm Hercules Rope Black  6.33  FT; Mesh Size: N/A;   Term : 5/8 SS Lifting Eyenut w/ Nylon Thimbled Loop;    Term : Huck Standard T BK/SD;  Joint Color:Black",1,"Term : 5/8 SS Lifting Eyenut w/ Nylon Thimbled Loop",LEN58SS,1,1,EA,200,ASY,0.001,0.001,,000,181,181,,,
,080417JR1401,313272-16,NF16mm,"16mm Netform; Rope: 16mm Hercules Rope Black  1.60  FT;  Rope: 16mm Hercules Rope Black  2.13  FT;  Rope: 16mm Hercules Rope Black  2.42  FT;  Rope: 16mm Hercules Rope Black  3.25  FT;  Rope: 16mm Hercules Rope Black  3.26  FT;  Rope: 16mm Hercules Rope Black  4.39  FT;  Rope: 16mm Hercules Rope Black  5.32  FT;  Rope: 16mm Hercules Rope Black  6.33  FT; Mesh Size: N/A;   Term : 5/8 SS Lifting Eyenut w/ Nylon Thimbled Loop;    Term : Huck Standard T BK/SD;  Joint Color:Black",1,"Term : 5/8 SS Lifting Eyenut w/ Nylon Thimbled Loop",LEN58SS,1,1,EA,200,ASY,0.001,0.001,,000,181,181,,,
