"Sage Order#","Proposal Number",Tag#,Product,"Product Description","# of Nets","Item Description","Item Code",QuantityPerNet,TotalQuantity,UOM,Step,"Activity Code","Expected Labor Time","Total Expected Labor Time","Actual Labor Time","Shipping Location","Product Location","Inventory Location","Expected Shipping Date",LOT,Notes
,080717JR1254,209015,NF18mm,"18mm Netform; Rope: 18mm Hercules Rope Black - Fiber Core  1.61  FT;  Rope: 18mm Hercules Rope Black - Fiber Core  1.69  FT;  Rope: 18mm Hercules Rope Black - Fiber Core  2.27  FT;  Rope: 18mm Hercules Rope Black - Fiber Core  2.71  FT;  Rope: 18mm Hercules Rope Black - Fiber Core  4.92  FT;  Rope: 18mm Hercules Rope Black - Fiber Core  .96  FT; Mesh Size: N/A;   Term : Clevis/Fork Termination w/ M10 Pin;    Term : Huck Aluminum T;  Joint Color:Black",1,"18mm Hercules Rope Black - Fiber Core",RNF18BK-FC,0.6928,0.6928,M,140,CUTP,0.13333,0.13333,,000,181,181,,,
,080717JR1254,209015,NF18mm,"18mm Netform; Rope: 18mm Hercules Rope Black - Fiber Core  1.61  FT;  Rope: 18mm Hercules Rope Black - Fiber Core  1.69  FT;  Rope: 18mm Hercules Rope Black - Fiber Core  2.27  FT;  Rope: 18mm Hercules Rope Black - Fiber Core  2.71  FT;  Rope: 18mm Hercules Rope Black - Fiber Core  4.92  FT;  Rope: 18mm Hercules Rope Black - Fiber Core  .96  FT; Mesh Size: N/A;   Term : Clevis/Fork Termination w/ M10 Pin;    Term : Huck Aluminum T;  Joint Color:Black",1,"18mm Hercules Rope Black - Fiber Core",RNF18BK-FC,0.4896,0.4896,M,140,CUTP,0.13333,0.13333,,000,181,181,,,
,080717JR1254,209015,NF18mm,"18mm Netform; Rope: 18mm Hercules Rope Black - Fiber Core  1.61  FT;  Rope: 18mm Hercules Rope Black - Fiber Core  1.69  FT;  Rope: 18mm Hercules Rope Black - Fiber Core  2.27  FT;  Rope: 18mm Hercules Rope Black - Fiber Core  2.71  FT;  Rope: 18mm Hercules Rope Black - Fiber Core  4.92  FT;  Rope: 18mm Hercules Rope Black - Fiber Core  .96  FT; Mesh Size: N/A;   Term : Clevis/Fork Termination w/ M10 Pin;    Term : Huck Aluminum T;  Joint Color:Black",1,"18mm Hercules Rope Black - Fiber Core",RNF18BK-FC,0.515,0.515,M,140,CUTP,0.13333,0.13333,,000,181,181,,,
,080717JR1254,209015,NF18mm,"18mm Netform; Rope: 18mm Hercules Rope Black - Fiber Core  1.61  FT;  Rope: 18mm Hercules Rope Black - Fiber Core  1.69  FT;  Rope: 18mm Hercules Rope Black - Fiber Core  2.27  FT;  Rope: 18mm Hercules Rope Black - Fiber Core  2.71  FT;  Rope: 18mm Hercules Rope Black - Fiber Core  4.92  FT;  Rope: 18mm Hercules Rope Black - Fiber Core  .96  FT; Mesh Size: N/A;   Term : Clevis/Fork Termination w/ M10 Pin;    Term : Huck Aluminum T;  Joint Color:Black",1,"18mm Hercules Rope Black - Fiber Core",RNF18BK-FC,0.8268,0.8268,M,140,CUTP,0.15,0.15,,000,181,181,,,
,080717JR1254,209015,NF18mm,"18mm Netform; Rope: 18mm Hercules Rope Black - Fiber Core  1.61  FT;  Rope: 18mm Hercules Rope Black - Fiber Core  1.69  FT;  Rope: 18mm Hercules Rope Black - Fiber Core  2.27  FT;  Rope: 18mm Hercules Rope Black - Fiber Core  2.71  FT;  Rope: 18mm Hercules Rope Black - Fiber Core  4.92  FT;  Rope: 18mm Hercules Rope Black - Fiber Core  .96  FT; Mesh Size: N/A;   Term : Clevis/Fork Termination w/ M10 Pin;    Term : Huck Aluminum T;  Joint Color:Black",1,"18mm Hercules Rope Black - Fiber Core",RNF18BK-FC,1.5,1.5,M,140,CUTP,0.13333,0.13333,,000,181,181,,,
,080717JR1254,209015,NF18mm,"18mm Netform; Rope: 18mm Hercules Rope Black - Fiber Core  1.61  FT;  Rope: 18mm Hercules Rope Black - Fiber Core  1.69  FT;  Rope: 18mm Hercules Rope Black - Fiber Core  2.27  FT;  Rope: 18mm Hercules Rope Black - Fiber Core  2.71  FT;  Rope: 18mm Hercules Rope Black - Fiber Core  4.92  FT;  Rope: 18mm Hercules Rope Black - Fiber Core  .96  FT; Mesh Size: N/A;   Term : Clevis/Fork Termination w/ M10 Pin;    Term : Huck Aluminum T;  Joint Color:Black",1,"18mm Hercules Rope Black - Fiber Core",RNF18BK-FC,0.2928,0.2928,M,140,CUTP,0.13333,0.13333,,000,181,181,,,
,080717JR1254,209015,NF18mm,"18mm Netform; Rope: 18mm Hercules Rope Black - Fiber Core  1.61  FT;  Rope: 18mm Hercules Rope Black - Fiber Core  1.69  FT;  Rope: 18mm Hercules Rope Black - Fiber Core  2.27  FT;  Rope: 18mm Hercules Rope Black - Fiber Core  2.71  FT;  Rope: 18mm Hercules Rope Black - Fiber Core  4.92  FT;  Rope: 18mm Hercules Rope Black - Fiber Core  .96  FT; Mesh Size: N/A;   Term : Clevis/Fork Termination w/ M10 Pin;    Term : Huck Aluminum T;  Joint Color:Black",1,"Aluminum Knot-Ball 18mm 400/box",H444-18-VP,2,2,EA,299,FRP8,0.08696,0.08696,,000,181,181,,,
,080717JR1254,209015,NF18mm,"18mm Netform; Rope: 18mm Hercules Rope Black - Fiber Core  1.61  FT;  Rope: 18mm Hercules Rope Black - Fiber Core  1.69  FT;  Rope: 18mm Hercules Rope Black - Fiber Core  2.27  FT;  Rope: 18mm Hercules Rope Black - Fiber Core  2.71  FT;  Rope: 18mm Hercules Rope Black - Fiber Core  4.92  FT;  Rope: 18mm Hercules Rope Black - Fiber Core  .96  FT; Mesh Size: N/A;   Term : Clevis/Fork Termination w/ M10 Pin;    Term : Huck Aluminum T;  Joint Color:Black",1,"Term : Clevis/Fork Termination w/ M10 Pin",AL6061F-18,2,2,EA,299,FRP5,0.04762,0.04762,,000,181,000,,,
,080717JR1254,209015,NF18mm,"18mm Netform; Rope: 18mm Hercules Rope Black - Fiber Core  1.61  FT;  Rope: 18mm Hercules Rope Black - Fiber Core  1.69  FT;  Rope: 18mm Hercules Rope Black - Fiber Core  2.27  FT;  Rope: 18mm Hercules Rope Black - Fiber Core  2.71  FT;  Rope: 18mm Hercules Rope Black - Fiber Core  4.92  FT;  Rope: 18mm Hercules Rope Black - Fiber Core  .96  FT; Mesh Size: N/A;   Term : Clevis/Fork Termination w/ M10 Pin;    Term : Huck Aluminum T;  Joint Color:Black",1,"Term : Clevis/Fork Termination w/ M10 Pin",AL6061F-18,1,1,EA,299,FRP5,0.02381,0.02381,,000,181,000,,,
,080717JR1254,209015,NF18mm,"18mm Netform; Rope: 18mm Hercules Rope Black - Fiber Core  1.61  FT;  Rope: 18mm Hercules Rope Black - Fiber Core  1.69  FT;  Rope: 18mm Hercules Rope Black - Fiber Core  2.27  FT;  Rope: 18mm Hercules Rope Black - Fiber Core  2.71  FT;  Rope: 18mm Hercules Rope Black - Fiber Core  4.92  FT;  Rope: 18mm Hercules Rope Black - Fiber Core  .96  FT; Mesh Size: N/A;   Term : Clevis/Fork Termination w/ M10 Pin;    Term : Huck Aluminum T;  Joint Color:Black",1,"Term : Clevis/Fork Termination w/ M10 Pin",AL6061F-18,1,1,EA,299,FRP5,0.02381,0.02381,,000,181,000,,,
,080717JR1254,209015,NF18mm,"18mm Netform; Rope: 18mm Hercules Rope Black - Fiber Core  1.61  FT;  Rope: 18mm Hercules Rope Black - Fiber Core  1.69  FT;  Rope: 18mm Hercules Rope Black - Fiber Core  2.27  FT;  Rope: 18mm Hercules Rope Black - Fiber Core  2.71  FT;  Rope: 18mm Hercules Rope Black - Fiber Core  4.92  FT;  Rope: 18mm Hercules Rope Black - Fiber Core  .96  FT; Mesh Size: N/A;   Term : Clevis/Fork Termination w/ M10 Pin;    Term : Huck Aluminum T;  Joint Color:Black",1,"Term : Clevis/Fork Termination w/ M10 Pin",AL6061F-18,1,1,EA,299,FRP5,0.02381,0.02381,,000,181,000,,,
,080717JR1254,209015,NF18mm,"18mm Netform; Rope: 18mm Hercules Rope Black - Fiber Core  1.61  FT;  Rope: 18mm Hercules Rope Black - Fiber Core  1.69  FT;  Rope: 18mm Hercules Rope Black - Fiber Core  2.27  FT;  Rope: 18mm Hercules Rope Black - Fiber Core  2.71  FT;  Rope: 18mm Hercules Rope Black - Fiber Core  4.92  FT;  Rope: 18mm Hercules Rope Black - Fiber Core  .96  FT; Mesh Size: N/A;   Term : Clevis/Fork Termination w/ M10 Pin;    Term : Huck Aluminum T;  Joint Color:Black",1,"Term : Clevis/Fork Termination w/ M10 Pin",AL6061F-18,2,2,EA,299,FRP5,0.04762,0.04762,,000,181,000,,,
,080717JR1254,209015,NF18mm,"18mm Netform; Rope: 18mm Hercules Rope Black - Fiber Core  1.61  FT;  Rope: 18mm Hercules Rope Black - Fiber Core  1.69  FT;  Rope: 18mm Hercules Rope Black - Fiber Core  2.27  FT;  Rope: 18mm Hercules Rope Black - Fiber Core  2.71  FT;  Rope: 18mm Hercules Rope Black - Fiber Core  4.92  FT;  Rope: 18mm Hercules Rope Black - Fiber Core  .96  FT; Mesh Size: N/A;   Term : Clevis/Fork Termination w/ M10 Pin;    Term : Huck Aluminum T;  Joint Color:Black",1,"Term : Clevis/Fork Termination w/ M10 Pin",AL6061F-18,1,1,EA,299,FRP5,0.02381,0.02381,,000,181,000,,,
,080717JR1254,209015,NF18mm,"18mm Netform; Rope: 18mm Hercules Rope Black - Fiber Core  1.61  FT;  Rope: 18mm Hercules Rope Black - Fiber Core  1.69  FT;  Rope: 18mm Hercules Rope Black - Fiber Core  2.27  FT;  Rope: 18mm Hercules Rope Black - Fiber Core  2.71  FT;  Rope: 18mm Hercules Rope Black - Fiber Core  4.92  FT;  Rope: 18mm Hercules Rope Black - Fiber Core  .96  FT; Mesh Size: N/A;   Term : Clevis/Fork Termination w/ M10 Pin;    Term : Huck Aluminum T;  Joint Color:Black",1,"Term : Clevis/Fork Termination w/ M10 Pin",AL6061F-18,1,1,EA,299,FRP5,0.02381,0.02381,,000,181,000,,,
