"Sage Order#","Proposal Number",Tag#,Product,"Product Description","# of Nets","Item Description","Item Code",Quantity,UOM,Step,"Activity Code","Expected Labor Time","Actual Labor Time","Shipping Location","Product Location","Inventory Location","Expected Shipping Date",LOT,Notes
,080817JR1042,"8ft tunnel, no rings",NF18mm,"18mm Netform; Rope: 18mm Hercules Rope Black - Fiber Core;Mesh Size: N/A;   Term : 5/8 SS Lifting Eyenut w/ 1/2 SS Thimbled Loop;    Term : PRESSED 18mm Ferrule TERMINATION; ",1,"Term : 5/8 SS Lifting Eyenut w/ 1/2 SS Thimbled Loop",LEN58SS,12,EA,599,ASY,0.012,,000,181,181,,,
,080817JR1042,"8ft tunnel, no rings",NF18mm,"18mm Netform; Rope: 18mm Hercules Rope Black - Fiber Core;Mesh Size: N/A;   Term : 5/8 SS Lifting Eyenut w/ 1/2 SS Thimbled Loop;    Term : PRESSED 18mm Ferrule TERMINATION; ",1,"Term : 5/8 SS Lifting Eyenut w/ 1/2 SS Thimbled Loop",LEN58SS,12,EA,599,ASY,0.012,,000,181,181,,,
,080817JR1042,"8ft tunnel, no rings",NF18mm,"18mm Netform; Rope: 18mm Hercules Rope Black - Fiber Core;Mesh Size: N/A;   Term : 5/8 SS Lifting Eyenut w/ 1/2 SS Thimbled Loop;    Term : PRESSED 18mm Ferrule TERMINATION; ",1,"Term : PRESSED 18mm Ferrule TERMINATION",H438-18,9,EA,299,FRP3,0.21429,,000,181,181,,,
,080817JR1042,"8ft tunnel, no rings",NF18mm,"18mm Netform; Rope: 18mm Hercules Rope Black - Fiber Core;Mesh Size: N/A;   Term : 5/8 SS Lifting Eyenut w/ 1/2 SS Thimbled Loop;    Term : PRESSED 18mm Ferrule TERMINATION; ",1,"Term : 5/8 SS Lifting Eyenut w/ 1/2 SS Thimbled Loop",H438-18,12,EA,299,FRP3,0.28571,,000,181,181,,,
,080817JR1042,"8ft tunnel, no rings",NF18mm,"18mm Netform; Rope: 18mm Hercules Rope Black - Fiber Core;Mesh Size: N/A;   Term : 5/8 SS Lifting Eyenut w/ 1/2 SS Thimbled Loop;    Term : PRESSED 18mm Ferrule TERMINATION; ",1,"Term : 5/8 SS Lifting Eyenut w/ 1/2 SS Thimbled Loop",LEN58SS,8,EA,599,ASY,0.008,,000,181,181,,,
,080817JR1042,"8ft tunnel, no rings",NF18mm,"18mm Netform; Rope: 18mm Hercules Rope Black - Fiber Core;Mesh Size: N/A;   Term : 5/8 SS Lifting Eyenut w/ 1/2 SS Thimbled Loop;    Term : PRESSED 18mm Ferrule TERMINATION; ",1,"Term : 5/8 SS Lifting Eyenut w/ 1/2 SS Thimbled Loop",LEN58SS,8,EA,599,ASY,0.008,,000,181,181,,,
,080817JR1042,"8ft tunnel, no rings",NF18mm,"18mm Netform; Rope: 18mm Hercules Rope Black - Fiber Core;Mesh Size: N/A;   Term : 5/8 SS Lifting Eyenut w/ 1/2 SS Thimbled Loop;    Term : PRESSED 18mm Ferrule TERMINATION; ",1,"Term : PRESSED 18mm Ferrule TERMINATION",H438-18,9,EA,299,FRP3,0.21429,,000,181,181,,,
,080817JR1042,"8ft tunnel, no rings",NF18mm,"18mm Netform; Rope: 18mm Hercules Rope Black - Fiber Core;Mesh Size: N/A;   Term : 5/8 SS Lifting Eyenut w/ 1/2 SS Thimbled Loop;    Term : PRESSED 18mm Ferrule TERMINATION; ",1,"Term : 5/8 SS Lifting Eyenut w/ 1/2 SS Thimbled Loop",H438-18,8,EA,299,FRP3,0.19048,,000,181,181,,,
,080817JR1042,"8ft tunnel, no rings",NF18mm,"18mm Netform; Rope: 18mm Hercules Rope Black - Fiber Core;Mesh Size: N/A;   Term : 5/8 SS Lifting Eyenut w/ 1/2 SS Thimbled Loop;    Term : PRESSED 18mm Ferrule TERMINATION; ",1,"Term : PRESSED 18mm Ferrule TERMINATION",H438-18,9,EA,299,FRP3,0.21429,,000,181,181,,,
,080817JR1042,"8ft tunnel, no rings",NF18mm,"18mm Netform; Rope: 18mm Hercules Rope Black - Fiber Core;Mesh Size: N/A;   Term : 5/8 SS Lifting Eyenut w/ 1/2 SS Thimbled Loop;    Term : PRESSED 18mm Ferrule TERMINATION; ",1,"Term : 5/8 SS Lifting Eyenut w/ 1/2 SS Thimbled Loop",H438-18,8,EA,299,FRP3,0.19048,,000,181,181,,,
