"Sage Order#","Proposal Number",Tag#,Product,"Product Description","# of Nets","Item Description","Item Code",QuantityPerNet,TotalQuantity,UOM,Step,"Activity Code","Expected Labor Time","Actual Labor Time","Shipping Location","Product Location","Inventory Location","Expected Shipping Date",LOT,Notes
,080917JR0929,308731,NF18mm,"18mm Netform; Rope: 18mm Hercules Rope Black - Fiber Core;Mesh Size: N/A;   Term : 3/8 Inch Lifting Eye;    Term : Huck Aluminum T;    Term : Huck Nylon Thimbled Loop;    Term : PRESSED 18mm Ferrule TERMINATION;  Joint Color:Black",1,"Term : Huck Nylon Thimbled Loop",TM12NYH,8,8,EA,299,FRP3,0.26667,,000,181,181,,,
,080917JR0929,308731,NF18mm,"18mm Netform; Rope: 18mm Hercules Rope Black - Fiber Core;Mesh Size: N/A;   Term : 3/8 Inch Lifting Eye;    Term : Huck Aluminum T;    Term : Huck Nylon Thimbled Loop;    Term : PRESSED 18mm Ferrule TERMINATION;  Joint Color:Black",1,"Term : PRESSED 18mm Ferrule TERMINATION",H438-18,1,1,EA,299,FRP3,0.02381,,000,181,181,,,
,080917JR0929,308731,NF18mm,"18mm Netform; Rope: 18mm Hercules Rope Black - Fiber Core;Mesh Size: N/A;   Term : 3/8 Inch Lifting Eye;    Term : Huck Aluminum T;    Term : Huck Nylon Thimbled Loop;    Term : PRESSED 18mm Ferrule TERMINATION;  Joint Color:Black",1,"Aluminum Knot-Ball 18mm 400/box",H444-18-VP,16,16,EA,299,FRP8,0.69565,,000,181,181,,,
,080917JR0929,308731,NF18mm,"18mm Netform; Rope: 18mm Hercules Rope Black - Fiber Core;Mesh Size: N/A;   Term : 3/8 Inch Lifting Eye;    Term : Huck Aluminum T;    Term : Huck Nylon Thimbled Loop;    Term : PRESSED 18mm Ferrule TERMINATION;  Joint Color:Black",1,"Term : 3/8 Inch Lifting Eye",LEN38SS,4,4,EA,299,ASY,0.004,,000,181,181,,,
,080917JR0929,308731,NF18mm,"18mm Netform; Rope: 18mm Hercules Rope Black - Fiber Core;Mesh Size: N/A;   Term : 3/8 Inch Lifting Eye;    Term : Huck Aluminum T;    Term : Huck Nylon Thimbled Loop;    Term : PRESSED 18mm Ferrule TERMINATION;  Joint Color:Black",1,"Term : Huck Nylon Thimbled Loop",H438-18,8,8,EA,299,FRP3,0.19048,,000,181,181,,,
,080917JR0929,308731,NF18mm,"18mm Netform; Rope: 18mm Hercules Rope Black - Fiber Core;Mesh Size: N/A;   Term : 3/8 Inch Lifting Eye;    Term : Huck Aluminum T;    Term : Huck Nylon Thimbled Loop;    Term : PRESSED 18mm Ferrule TERMINATION;  Joint Color:Black",1,"Term : Huck Aluminum T",H438-18-VPS,8,8,EA,299,FRP6,0.00333,,000,181,181,,,
,080917JR0929,308731,NF18mm,"18mm Netform; Rope: 18mm Hercules Rope Black - Fiber Core;Mesh Size: N/A;   Term : 3/8 Inch Lifting Eye;    Term : Huck Aluminum T;    Term : Huck Nylon Thimbled Loop;    Term : PRESSED 18mm Ferrule TERMINATION;  Joint Color:Black",1,"Term : 3/8 Inch Lifting Eye",H438-18,4,4,EA,299,FRP3,0.09524,,000,181,181,,,
,080917JR0929,308731,NF18mm,"18mm Netform; Rope: 18mm Hercules Rope Black - Fiber Core;Mesh Size: N/A;   Term : 3/8 Inch Lifting Eye;    Term : Huck Aluminum T;    Term : Huck Nylon Thimbled Loop;    Term : PRESSED 18mm Ferrule TERMINATION;  Joint Color:Black",1,"Term : 3/8 Inch Lifting Eye",TM12NYH,4,4,EA,299,FRP3,0.13334,,000,181,181,,,
,080917JR0929,308731,NF18mm,"18mm Netform; Rope: 18mm Hercules Rope Black - Fiber Core;Mesh Size: N/A;   Term : 3/8 Inch Lifting Eye;    Term : Huck Aluminum T;    Term : Huck Nylon Thimbled Loop;    Term : PRESSED 18mm Ferrule TERMINATION;  Joint Color:Black",1,"Term : Huck Aluminum T",H445-18-VP,8,8,EA,299,FRP7,0.34783,,000,181,181,,,
,080917JR0929,308731,NF18mm,"18mm Netform; Rope: 18mm Hercules Rope Black - Fiber Core;Mesh Size: N/A;   Term : 3/8 Inch Lifting Eye;    Term : Huck Aluminum T;    Term : Huck Nylon Thimbled Loop;    Term : PRESSED 18mm Ferrule TERMINATION;  Joint Color:Black",1,"18mm Hercules Rope Black - Fiber Core",RNF18BK-FC,18.6607,18.6607,M,140,CUTP,0.76666,,000,181,181,,,
