"Sage Order#","Proposal Number",Tag#,Product,"Product Description","# of Nets","Item Description","Item Code",QuantityPerNet,TotalQuantity,UOM,Step,"Activity Code","Expected Labor Time","Total Expected Labor Time","Actual Labor Time","Shipping Location","Product Location","Inventory Location","Expected Shipping Date",LOT,Notes
,081417JR0905,,NF18mm,"18mm Netform; Rope: 18mm Hercules Rope Black - Fiber Core;Mesh Size: N/A;   Term : 15/32 SS Shackle w/ SS Thimbled Loop;    Term : 5/8 SS Lifting Eyenut w/ Nylon Thimbled Loop;    Term : Huck Aluminum T;  Joint Color:Black",1,"Term : 5/8 SS Lifting Eyenut w/ Nylon Thimbled Loop",H438-18,16,16,EA,299,FRP3,0.38095,0.38095,,000,181,181,,,
,081417JR0905,,NF18mm,"18mm Netform; Rope: 18mm Hercules Rope Black - Fiber Core;Mesh Size: N/A;   Term : 15/32 SS Shackle w/ SS Thimbled Loop;    Term : 5/8 SS Lifting Eyenut w/ Nylon Thimbled Loop;    Term : Huck Aluminum T;  Joint Color:Black",1,"Term : Huck Aluminum T",H445-18-VP,16,16,EA,299,FRP7,0.69565,0.69565,,000,181,181,,,
,081417JR0905,,NF18mm,"18mm Netform; Rope: 18mm Hercules Rope Black - Fiber Core;Mesh Size: N/A;   Term : 15/32 SS Shackle w/ SS Thimbled Loop;    Term : 5/8 SS Lifting Eyenut w/ Nylon Thimbled Loop;    Term : Huck Aluminum T;  Joint Color:Black",1,"Term : 15/32 SS Shackle w/ SS Thimbled Loop",TM12SS,12,12,EA,299,FRP3,0.05,0.05,,000,181,181,,,
,081417JR0905,,NF18mm,"18mm Netform; Rope: 18mm Hercules Rope Black - Fiber Core;Mesh Size: N/A;   Term : 15/32 SS Shackle w/ SS Thimbled Loop;    Term : 5/8 SS Lifting Eyenut w/ Nylon Thimbled Loop;    Term : Huck Aluminum T;  Joint Color:Black",1,"18mm Hercules Rope Black - Fiber Core",RNF18BK-FC,41.3096,41.3096,M,140,CUTP,0.6,0.6,,000,181,181,,,
,081417JR0905,,NF18mm,"18mm Netform; Rope: 18mm Hercules Rope Black - Fiber Core;Mesh Size: N/A;   Term : 15/32 SS Shackle w/ SS Thimbled Loop;    Term : 5/8 SS Lifting Eyenut w/ Nylon Thimbled Loop;    Term : Huck Aluminum T;  Joint Color:Black",1,"Term : 5/8 SS Lifting Eyenut w/ Nylon Thimbled Loop",TM12NYH,16,16,EA,299,FRP3,0.53333,0.53333,,000,181,181,,,
,081417JR0905,,NF18mm,"18mm Netform; Rope: 18mm Hercules Rope Black - Fiber Core;Mesh Size: N/A;   Term : 15/32 SS Shackle w/ SS Thimbled Loop;    Term : 5/8 SS Lifting Eyenut w/ Nylon Thimbled Loop;    Term : Huck Aluminum T;  Joint Color:Black",1,"Term : 15/32 SS Shackle w/ SS Thimbled Loop",H438-18,12,12,EA,299,FRP3,0.28572,0.28572,,000,181,181,,,
,081417JR0905,,NF18mm,"18mm Netform; Rope: 18mm Hercules Rope Black - Fiber Core;Mesh Size: N/A;   Term : 15/32 SS Shackle w/ SS Thimbled Loop;    Term : 5/8 SS Lifting Eyenut w/ Nylon Thimbled Loop;    Term : Huck Aluminum T;  Joint Color:Black",1,"Term : 15/32 SS Shackle w/ SS Thimbled Loop",SHK15NSSS,12,12,EA,599,FRP3,0.012,0.012,,000,181,181,,,
,081417JR0905,,NF18mm,"18mm Netform; Rope: 18mm Hercules Rope Black - Fiber Core;Mesh Size: N/A;   Term : 15/32 SS Shackle w/ SS Thimbled Loop;    Term : 5/8 SS Lifting Eyenut w/ Nylon Thimbled Loop;    Term : Huck Aluminum T;  Joint Color:Black",1,"Term : Huck Aluminum T",H438-18-VPS,16,16,EA,299,FRP6,0.00667,0.00667,,000,181,181,,,
,081417JR0905,,NF18mm,"18mm Netform; Rope: 18mm Hercules Rope Black - Fiber Core;Mesh Size: N/A;   Term : 15/32 SS Shackle w/ SS Thimbled Loop;    Term : 5/8 SS Lifting Eyenut w/ Nylon Thimbled Loop;    Term : Huck Aluminum T;  Joint Color:Black",1,"Term : 5/8 SS Lifting Eyenut w/ Nylon Thimbled Loop",LEN58SS,16,16,EA,599,ASY,0.016,0.016,,000,181,181,,,
,081417JR0905,,NF18mm,"18mm Netform; Rope: 18mm Hercules Rope Black - Fiber Core;Mesh Size: N/A;   Term : 15/32 SS Shackle w/ SS Thimbled Loop;    Term : 5/8 SS Lifting Eyenut w/ Nylon Thimbled Loop;    Term : Huck Aluminum T;  Joint Color:Black",1,"Aluminum Knot-Ball 18mm 400/box",H444-18-VP,12,12,EA,299,FRP8,0.52174,0.52174,,000,181,181,,,
