"Sage Order#","Proposal Number",Tag#,Product,"Product Description","# of Nets","Item Description","Item Code",QuantityPerNet,TotalQuantity,UOM,Step,"Activity Code","Expected Labor Time","Total Expected Labor Time","Actual Labor Time","Shipping Location","Product Location","Inventory Location","Expected Shipping Date",LOT,Notes
,081617EM0819,"John Murphy",LPN-SB,"Netform Lily Pad Net with Spreader Bars and Associated SS Attachment Hardware;Size: 42.00 FT x 4.00 FT;Body Length: 36.00 FT;16mm Hercules Rope (Color: TBD);Spreader Bar: SB204SSBK-4 Black Lily Pad Spreader Bar 2in OD S;Joints: HCJSD 444-08 Knot-ball 48mm Tan",1,"Black Lily Pad Spreader Bar 2in OD S",SB204SSBK-4,2,2,EA,200,MSMO,0,0,,000,181,000,,,
,081617EM0819,"John Murphy",LPN-SB,"Netform Lily Pad Net with Spreader Bars and Associated SS Attachment Hardware;Size: 42.00 FT x 4.00 FT;Body Length: 36.00 FT;16mm Hercules Rope (Color: TBD);Spreader Bar: SB204SSBK-4 Black Lily Pad Spreader Bar 2in OD S;Joints: HCJSD 444-08 Knot-ball 48mm Tan",1,"5/8in Lifting Eye Nut SS",LEN58SS,8,8,EA,260,ASY,0.008,0.008,,000,181,181,,,
,081617EM0819,"John Murphy",LPN-SB,"Netform Lily Pad Net with Spreader Bars and Associated SS Attachment Hardware;Size: 42.00 FT x 4.00 FT;Body Length: 36.00 FT;16mm Hercules Rope (Color: TBD);Spreader Bar: SB204SSBK-4 Black Lily Pad Spreader Bar 2in OD S;Joints: HCJSD 444-08 Knot-ball 48mm Tan",1,"1/2 x 6 Jaw  Eye Closed Body",TB126JESS,2,2,EA,260,MFER,0.03333,0.03333,,000,181,181,,,
,081617EM0819,"John Murphy",LPN-SB,"Netform Lily Pad Net with Spreader Bars and Associated SS Attachment Hardware;Size: 42.00 FT x 4.00 FT;Body Length: 36.00 FT;16mm Hercules Rope (Color: TBD);Spreader Bar: SB204SSBK-4 Black Lily Pad Spreader Bar 2in OD S;Joints: HCJSD 444-08 Knot-ball 48mm Tan",1,"1/2 Thimble SS",TM12SS,8,8,EA,260,MFER,0.03333,0.03333,,000,181,181,,,
,081617EM0819,"John Murphy",LPN-SB,"Netform Lily Pad Net with Spreader Bars and Associated SS Attachment Hardware;Size: 42.00 FT x 4.00 FT;Body Length: 36.00 FT;16mm Hercules Rope (Color: TBD);Spreader Bar: SB204SSBK-4 Black Lily Pad Spreader Bar 2in OD S;Joints: HCJSD 444-08 Knot-ball 48mm Tan",1,"GC16-E Alum Eye Ferrule",ALGC16E,18,18,EA,260,FRP2,0.6,0.6,,000,181,181,,,
,081617EM0819,"John Murphy",LPN-SB,"Netform Lily Pad Net with Spreader Bars and Associated SS Attachment Hardware;Size: 42.00 FT x 4.00 FT;Body Length: 36.00 FT;16mm Hercules Rope (Color: TBD);Spreader Bar: SB204SSBK-4 Black Lily Pad Spreader Bar 2in OD S;Joints: HCJSD 444-08 Knot-ball 48mm Tan",1,"5/8 Flat Washer Extra Thick SS",FW58ETSS,4,4,EA,899,PACK,0.004,0.004,,000,181,181,,,
,081617EM0819,"John Murphy",LPN-SB,"Netform Lily Pad Net with Spreader Bars and Associated SS Attachment Hardware;Size: 42.00 FT x 4.00 FT;Body Length: 36.00 FT;16mm Hercules Rope (Color: TBD);Spreader Bar: SB204SSBK-4 Black Lily Pad Spreader Bar 2in OD S;Joints: HCJSD 444-08 Knot-ball 48mm Tan",1,"16mm Hercules Rope Green",RNF16GN,102.9936,102.9936,M,140,CUTL,0.51497,0.51497,,000,181,181,,,
,081617EM0819,"John Murphy",LPN-SB,"Netform Lily Pad Net with Spreader Bars and Associated SS Attachment Hardware;Size: 42.00 FT x 4.00 FT;Body Length: 36.00 FT;16mm Hercules Rope (Color: TBD);Spreader Bar: SB204SSBK-4 Black Lily Pad Spreader Bar 2in OD S;Joints: HCJSD 444-08 Knot-ball 48mm Tan",1,"5/8 x 3.0 316 HH Bolt SS",B583.0SS,4,4,EA,300,ASY,0.06667,0.06667,,000,181,181,,,
,081617EM0819,"John Murphy",LPN-SB,"Netform Lily Pad Net with Spreader Bars and Associated SS Attachment Hardware;Size: 42.00 FT x 4.00 FT;Body Length: 36.00 FT;16mm Hercules Rope (Color: TBD);Spreader Bar: SB204SSBK-4 Black Lily Pad Spreader Bar 2in OD S;Joints: HCJSD 444-08 Knot-ball 48mm Tan",1,"Acorn Nut 5/8 SS",AN58SS,4,4,EA,899,PACK,0.06667,0.06667,,000,181,181,,,
,081617EM0819,"John Murphy",LPN-SB,"Netform Lily Pad Net with Spreader Bars and Associated SS Attachment Hardware;Size: 42.00 FT x 4.00 FT;Body Length: 36.00 FT;16mm Hercules Rope (Color: TBD);Spreader Bar: SB204SSBK-4 Black Lily Pad Spreader Bar 2in OD S;Joints: HCJSD 444-08 Knot-ball 48mm Tan",1,"444-08 Knot-ball 48mm Tan",HCJSD,105,105,EA,300,ASY,3.5,3.5,,000,181,181,,,
