Proposal,081617JR0709,,,,
,,Line#,Product,Description,Quantity,"Special Instruction",Discount,"Total Cost"
,,8,NF16mm,"16mm Netform; Rope: 16mm Hercules Rope Blue;Mesh Size: N/A;   Term : 15/32 SS Shackle w/ SS Thimbled Loop;  Joint Color:Black",1,,0,49.62222
,,9,NF16mm,"16mm Netform; Rope: 16mm Hercules Rope Blue;Mesh Size: N/A;   Term : 15/32 SS Shackle w/ SS Thimbled Loop;  Joint Color:Black",1,,0,45.20872
,,10,NF16mm,"16mm Netform; Rope: 16mm Hercules Rope Blue;Mesh Size: N/A;   Term : 15/32 SS Shackle w/ SS Thimbled Loop;  Joint Color:Black",1,,0,43.55607
,,11,NF16mm,"16mm Netform; Rope: 16mm Hercules Rope Blue;Mesh Size: N/A;   Term : 15/32 SS Shackle w/ SS Thimbled Loop;  Joint Color:Black",1,,0,55.26437
,,12,NF16mm,"16mm Netform; Rope: 16mm Hercules Rope Blue;Mesh Size: N/A;   Term : 15/32 SS Shackle w/ SS Thimbled Loop;  Joint Color:Black",1,,0,53.34672
,,13,NF16mm,"16mm Netform; Rope: 16mm Hercules Rope Blue;Mesh Size: N/A;   Term : 15/32 SS Shackle w/ SS Thimbled Loop;  Joint Color:Black",1,,0,53.58281
,,14,NF16mm,"16mm Netform; Rope: 16mm Hercules Rope Blue;Mesh Size: N/A;   Term : 15/32 SS Shackle w/ SS Thimbled Loop;  Joint Color:Black",1,,0,54.956
,,17,NF16mm,"16mm Netform Rope: 16mm Hercules Rope Blue Mesh Size: N/A Term : 15/32 SS Shackle w/ SS Thimbled Loop Joint Color:Black",1,,0,54.956
,,18,NF16mm,"16mm Netform Rope: 16mm Hercules Rope Blue Mesh Size: N/A Term : 15/32 SS Shackle w/ SS Thimbled Loop Joint Color:Black",1,,0,53.63581
,,19,NF16mm,"16mm Netform Rope: 16mm Hercules Rope Blue Mesh Size: N/A Term : 15/32 SS Shackle w/ SS Thimbled Loop Joint Color:Black",1,,0,46.90956
,,20,NF16mm,"16mm Netform Rope: 16mm Hercules Rope Blue Mesh Size: N/A Term : 15/32 SS Shackle w/ SS Thimbled Loop Joint Color:Black",1,,0,45.18945
,,21,NF16mm,"16mm Netform Rope: 16mm Hercules Rope Blue Mesh Size: N/A Term : 15/32 SS Shackle w/ SS Thimbled Loop Joint Color:Black",1,,0,53.30335
,,22,NF16mm,"16mm Netform Rope: 16mm Hercules Rope Blue Mesh Size: N/A Term : 15/32 SS Shackle w/ SS Thimbled Loop Joint Color:Black",1,,0,44.90999
,,23,NF16mm,"16mm Netform Rope: 16mm Hercules Rope Blue Mesh Size: N/A Term : 15/32 SS Shackle w/ SS Thimbled Loop Joint Color:Black",1,,0,45.32918
,,24,NF16mm,"16mm Netform Rope: 16mm Hercules Rope Blue Mesh Size: N/A Term : 15/32 SS Shackle w/ SS Thimbled Loop Joint Color:Black",1,,0,49.27049
,,25,NF16mm,"16mm Netform Rope: 16mm Hercules Rope Blue Mesh Size: N/A Term : 15/32 SS Shackle w/ SS Thimbled Loop Joint Color:Black",1,,0,51.22188
,,26,NF16mm,"16mm Netform Rope: 16mm Hercules Rope Blue Mesh Size: N/A Term : 15/32 SS Shackle w/ SS Thimbled Loop Joint Color:Black",1,,0,49.76677
,,27,NF16mm,"16mm Netform Rope: 16mm Hercules Rope Blue Mesh Size: N/A Term : 15/32 SS Shackle w/ SS Thimbled Loop Joint Color:Black",1,,0,49.79568
,,28,NF16mm,"16mm Netform Rope: 16mm Hercules Rope Blue Mesh Size: N/A Term : 15/32 SS Shackle w/ SS Thimbled Loop Joint Color:Black",1,,0,48.45621
,,29,NF16mm,"16mm Netform Rope: 16mm Hercules Rope Blue Mesh Size: N/A Term : 15/32 SS Shackle w/ SS Thimbled Loop Joint Color:Black",1,,0,45.30509
,,36,NF16mm,"16mm Netform; Rope: 16mm Hercules Rope Blue;Mesh Size: N/A;   Term : 15/32 SS Shackle w/ SS Thimbled Loop;  Joint Color:Black",1,,0,147.55011
,,37,NF16mm,"16mm Netform; Rope: 16mm Hercules Rope Blue;Mesh Size: N/A;   Term : 15/32 SS Shackle w/ SS Thimbled Loop;  Joint Color:Black",1,,0,51.78079
,,39,NF16mm,"16mm Netform; Rope: 16mm Hercules Rope Blue;Mesh Size: N/A;   Term : 15/32 SS Shackle w/ SS Thimbled Loop;  Joint Color:Black",1,,0,44.63054
,,40,NF16mm,"16mm Netform Rope: 16mm Hercules Rope Blue Mesh Size: N/A Term : 15/32 SS Shackle w/ SS Thimbled Loop Joint Color:Black",1,,0,73.58328
,,41,NF16mm,"16mm Netform; Rope: 16mm Hercules Rope Blue;Mesh Size: N/A;   Term : 15/32 SS Shackle w/ SS Thimbled Loop;  Joint Color:Black",1,,0,46.15792
,,42,NF16mm,"16mm Netform; Rope: 16mm Hercules Rope Blue;Mesh Size: N/A;   Term : 15/32 SS Shackle w/ SS Thimbled Loop;  Joint Color:Black",1,,0,54.89337
