"Sage Order#","Proposal Number",Tag#,Product,"Product Description","# of Nets","Item Description","Item Code",QuantityPerNet,TotalQuantity,UOM,Step,"Activity Code","Expected Labor Time","Total Expected Labor Time","Actual Labor Time","Shipping Location","Product Location","Inventory Location","Expected Shipping Date",LOT,Notes
,081817JG1453,,NF18mm,"18mm Netform;Rope: 18mm Hercules Rope Black - Fiber Core;  Rope: 18mm Hercules Rope Blue - Fiber Core;Mesh Size: N/A;  Term : 1/2 SS Thimbled Loop;    Term : 3/8 SS Shackle w/ Nylon Thimbled Loop;    Term : Huck Nylon Thimbled Loop;    Term : Rope Circle w/ Huck In-Line Joint - BLACK;",1,"Term : Huck Nylon Thimbled Loop",H438-18,12,12,EA,299,FRP3,0.28572,0.28572,,000,181,181,,,
,081817JG1453,,NF18mm,"18mm Netform;Rope: 18mm Hercules Rope Black - Fiber Core;  Rope: 18mm Hercules Rope Blue - Fiber Core;Mesh Size: N/A;  Term : 1/2 SS Thimbled Loop;    Term : 3/8 SS Shackle w/ Nylon Thimbled Loop;    Term : Huck Nylon Thimbled Loop;    Term : Rope Circle w/ Huck In-Line Joint - BLACK;",1,"Term : 1/2 SS Thimbled Loop",TM12SS,14,14,EA,299,FRP3,0.05834,0.05834,,000,181,181,,,
,081817JG1453,,NF18mm,"18mm Netform;Rope: 18mm Hercules Rope Black - Fiber Core;  Rope: 18mm Hercules Rope Blue - Fiber Core;Mesh Size: N/A;  Term : 1/2 SS Thimbled Loop;    Term : 3/8 SS Shackle w/ Nylon Thimbled Loop;    Term : Huck Nylon Thimbled Loop;    Term : Rope Circle w/ Huck In-Line Joint - BLACK;",1,"Aluminum Knot-Ball 18mm 400/box",H444-18-VP,195,195,EA,299,FRP8,8.47826,8.47826,,000,181,181,,,
,081817JG1453,,NF18mm,"18mm Netform;Rope: 18mm Hercules Rope Black - Fiber Core;  Rope: 18mm Hercules Rope Blue - Fiber Core;Mesh Size: N/A;  Term : 1/2 SS Thimbled Loop;    Term : 3/8 SS Shackle w/ Nylon Thimbled Loop;    Term : Huck Nylon Thimbled Loop;    Term : Rope Circle w/ Huck In-Line Joint - BLACK;",1,"Term : Rope Circle w/ Huck In-Line Joint - BLACK",H438-18-VPS,28,28,EA,299,FRP6,0.01166,0.01166,,000,181,181,,,
,081817JG1453,,NF18mm,"18mm Netform;Rope: 18mm Hercules Rope Black - Fiber Core;  Rope: 18mm Hercules Rope Blue - Fiber Core;Mesh Size: N/A;  Term : 1/2 SS Thimbled Loop;    Term : 3/8 SS Shackle w/ Nylon Thimbled Loop;    Term : Huck Nylon Thimbled Loop;    Term : Rope Circle w/ Huck In-Line Joint - BLACK;",1,"Term : 1/2 SS Thimbled Loop",H438-18,14,14,EA,299,FRP3,0.33334,0.33334,,000,181,181,,,
,081817JG1453,,NF18mm,"18mm Netform;Rope: 18mm Hercules Rope Black - Fiber Core;  Rope: 18mm Hercules Rope Blue - Fiber Core;Mesh Size: N/A;  Term : 1/2 SS Thimbled Loop;    Term : 3/8 SS Shackle w/ Nylon Thimbled Loop;    Term : Huck Nylon Thimbled Loop;    Term : Rope Circle w/ Huck In-Line Joint - BLACK;",1,"Term : Huck Nylon Thimbled Loop",TM12NYH,12,12,EA,299,FRP3,0.4,0.4,,000,181,181,,,
,081817JG1453,,NF18mm,"18mm Netform;Rope: 18mm Hercules Rope Black - Fiber Core;  Rope: 18mm Hercules Rope Blue - Fiber Core;Mesh Size: N/A;  Term : 1/2 SS Thimbled Loop;    Term : 3/8 SS Shackle w/ Nylon Thimbled Loop;    Term : Huck Nylon Thimbled Loop;    Term : Rope Circle w/ Huck In-Line Joint - BLACK;",1,"18mm Hercules Rope Black - Fiber Core",RNF18BK-FC,10.038,10.038,M,140,CUTP,0.21667,0.21667,,000,181,181,,,
,081817JG1453,,NF18mm,"18mm Netform;Rope: 18mm Hercules Rope Black - Fiber Core;  Rope: 18mm Hercules Rope Blue - Fiber Core;Mesh Size: N/A;  Term : 1/2 SS Thimbled Loop;    Term : 3/8 SS Shackle w/ Nylon Thimbled Loop;    Term : Huck Nylon Thimbled Loop;    Term : Rope Circle w/ Huck In-Line Joint - BLACK;",1,"Term : 3/8 SS Shackle w/ Nylon Thimbled Loop",H438-18,16,16,EA,299,FRP3,0.38096,0.38096,,000,181,181,,,
,081817JG1453,,NF18mm,"18mm Netform;Rope: 18mm Hercules Rope Black - Fiber Core;  Rope: 18mm Hercules Rope Blue - Fiber Core;Mesh Size: N/A;  Term : 1/2 SS Thimbled Loop;    Term : 3/8 SS Shackle w/ Nylon Thimbled Loop;    Term : Huck Nylon Thimbled Loop;    Term : Rope Circle w/ Huck In-Line Joint - BLACK;",1,"18mm Hercules Rope Blue - Fiber Core",RNF18BL-FC,38.265,38.265,M,140,CUTP,0.71666,0.71666,,000,181,000,,,
,081817JG1453,,NF18mm,"18mm Netform;Rope: 18mm Hercules Rope Black - Fiber Core;  Rope: 18mm Hercules Rope Blue - Fiber Core;Mesh Size: N/A;  Term : 1/2 SS Thimbled Loop;    Term : 3/8 SS Shackle w/ Nylon Thimbled Loop;    Term : Huck Nylon Thimbled Loop;    Term : Rope Circle w/ Huck In-Line Joint - BLACK;",1,"Term : 3/8 SS Shackle w/ Nylon Thimbled Loop",SHK38NSSS,16,16,EA,200,FRP3,0.016,0.016,,000,181,181,,,
