"Sage Order#","Proposal Number",Tag#,Product,"Product Description","# of Nets","Item Description","Item Code",QuantityPerNet,TotalQuantity,UOM,Step,"Activity Code","Expected Labor Time","Total Expected Labor Time","Actual Labor Time","Shipping Location","Product Location","Inventory Location","Expected Shipping Date",LOT,Notes
,082117CC1340,,TS-3PU-BAYENTS,"3ft. NEW BayNet Pull-up",1,"3ft. NEW BayNet Pull-up",TS-3PU-BAYENTS,1,1,EA,,PACK,0,0,,000,181,003,,,
,082117CC1340,,TS-3PULIGHTSOLD,"3ft. NEW BayNet Pull-up",1,"3ft. Pull-up light, Old Style",TS-3PULIGHTSOLD,1,1,EA,,PACK,0,0,,000,181,003,,,
,082117CC1340,,TS-3PU-BAYENTS,"3ft. NEW BayNet Pull-up",1,"3ft. NEW BayNet Pull-up",TS-3PU-BAYENTS,6,6,EA,,PACK,0,0,,000,181,003,,,
,082117CC1340,,TS-3PULIGHTSOLD,"3ft. NEW BayNet Pull-up",1,"3ft. Pull-up light, Old Style",TS-3PULIGHTSOLD,1,1,EA,,PACK,0,0,,000,181,003,,,
,082117CC1340,,TS-3PU-BAYENTS,"3ft. Pull-up light, Old Style",1,"3ft. NEW BayNet Pull-up",TS-3PU-BAYENTS,1,1,EA,,PACK,0,0,,000,181,003,,,
,082117CC1340,,TS-3PULIGHTSOLD,"3ft. Pull-up light, Old Style",1,"3ft. Pull-up light, Old Style",TS-3PULIGHTSOLD,1,1,EA,,PACK,0,0,,000,181,003,,,
,082117CC1340,,TS-3PU-BAYENTS,"3ft. Pull-up light, Old Style",1,"3ft. NEW BayNet Pull-up",TS-3PU-BAYENTS,6,6,EA,,PACK,0,0,,000,181,003,,,
,082117CC1340,,TS-3PULIGHTSOLD,"3ft. Pull-up light, Old Style",1,"3ft. Pull-up light, Old Style",TS-3PULIGHTSOLD,1,1,EA,,PACK,0,0,,000,181,003,,,
,082117CC1340,,TS-3PU-BAYENTS,"3ft. NEW BayNet Pull-up",6,"3ft. NEW BayNet Pull-up",TS-3PU-BAYENTS,1,6,EA,,PACK,0,0,,000,181,003,,,
,082117CC1340,,TS-3PULIGHTSOLD,"3ft. NEW BayNet Pull-up",6,"3ft. Pull-up light, Old Style",TS-3PULIGHTSOLD,1,6,EA,,PACK,0,0,,000,181,003,,,
,082117CC1340,,TS-3PU-BAYENTS,"3ft. NEW BayNet Pull-up",6,"3ft. NEW BayNet Pull-up",TS-3PU-BAYENTS,6,36,EA,,PACK,0,0,,000,181,003,,,
,082117CC1340,,TS-3PULIGHTSOLD,"3ft. NEW BayNet Pull-up",6,"3ft. Pull-up light, Old Style",TS-3PULIGHTSOLD,1,6,EA,,PACK,0,0,,000,181,003,,,
,082117CC1340,,TS-3PU-BAYENTS,"3ft. Pull-up light, Old Style",1,"3ft. NEW BayNet Pull-up",TS-3PU-BAYENTS,1,1,EA,,PACK,0,0,,000,181,003,,,
,082117CC1340,,TS-3PULIGHTSOLD,"3ft. Pull-up light, Old Style",1,"3ft. Pull-up light, Old Style",TS-3PULIGHTSOLD,1,1,EA,,PACK,0,0,,000,181,003,,,
,082117CC1340,,TS-3PU-BAYENTS,"3ft. Pull-up light, Old Style",1,"3ft. NEW BayNet Pull-up",TS-3PU-BAYENTS,6,6,EA,,PACK,0,0,,000,181,003,,,
,082117CC1340,,TS-3PULIGHTSOLD,"3ft. Pull-up light, Old Style",1,"3ft. Pull-up light, Old Style",TS-3PULIGHTSOLD,1,1,EA,,PACK,0,0,,000,181,003,,,
