"Sage Order#","Proposal Number",Tag#,Product,"Product Description","# of Nets","Item Description","Item Code",QuantityPerNet,TotalQuantity,UOM,Step,"Activity Code","Expected Labor Time","Total Expected Labor Time","Actual Labor Time","Shipping Location","Product Location","Inventory Location","Expected Shipping Date",LOT,Notes
,092217BH1515,,BNS38,"BayNets Safety System 3/8in Standard
Pit Size: 3.50 FT x 45.00 FT
Net Size: 2.83 FT x 45.00 FT
Number of Nets per Bay: 1

Installation Instruction included",1,"820BK HTPP Black 2.5in Sq; MESH COUNT =228 x 14",218-060-06,141.57281,141.57281,SF,050,CUTS,0.12933,0.12933,,181,181,181,,,
,092217BH1515,,BNS38,"BayNets Safety System 3/8in Standard
Pit Size: 3.50 FT x 45.00 FT
Net Size: 2.83 FT x 45.00 FT
Number of Nets per Bay: 1

Installation Instruction included",1,"Alum Ferrule 1/2in Soft Rope",AL1236,2,2,EA,060,FRP3,0.06667,0.06667,,181,181,181,,,
,092217BH1515,,BNS38,"BayNets Safety System 3/8in Standard
Pit Size: 3.50 FT x 45.00 FT
Net Size: 2.83 FT x 45.00 FT
Number of Nets per Bay: 1

Installation Instruction included",1,"Hog Ring 1-1/2in Galvanized",HR112G,82,82,EA,070,HOGR,0.27333,0.27333,,181,181,181,,,
,092217BH1515,,BNS38,"BayNets Safety System 3/8in Standard
Pit Size: 3.50 FT x 45.00 FT
Net Size: 2.83 FT x 45.00 FT
Number of Nets per Bay: 1

Installation Instruction included",1,"Polyester Braid 1/4in x 1000ft BlackPolyester Braid 1/4in x 1000ft",RPYB025BK,98.53667,98.53667,FT,200,MLGO,0.47833,0.47833,,181,181,181,,,
,092217BH1515,,BNS38,"BayNets Safety System 3/8in Standard
Pit Size: 3.50 FT x 45.00 FT
Net Size: 2.83 FT x 45.00 FT
Number of Nets per Bay: 1

Installation Instruction included",1,"HTPP ProManila 3 Strand 1/2in x 600ft BlackHTPP ProManila 3 Strand 1/2in ;ROPE MARKING : 8 in - 1.42 ft - 45.00 ft - 2.83  ft - 45.00 ft - 1.42 ft - 8 in",RPS3S050BK,99.90657,99.90657,FT,210,CWS,0.69283,0.69283,,181,181,181,,,
,092217BH1515,,BNS38,"BayNets Safety System 3/8in Standard
Pit Size: 3.50 FT x 45.00 FT
Net Size: 2.83 FT x 45.00 FT
Number of Nets per Bay: 1

Installation Instruction included",1,"1/2in x 2in x 3.25in Mild Steel with Two 5/8in Drill Thrus1/2in x 2in x 3.25in Mild Stee",BN-CABLUG,2,2,EA,899,PACK,0.03333,0.03333,,181,181,181,,,
,092217BH1515,,BNS38,"BayNets Safety System 3/8in Standard
Pit Size: 3.50 FT x 45.00 FT
Net Size: 2.83 FT x 45.00 FT
Number of Nets per Bay: 1

Installation Instruction included",1,"3/8 Cable Clamp",CC38G,6,6,EA,899,PACK,0.1,0.1,,181,181,181,,,
,092217BH1515,,BNS38,"BayNets Safety System 3/8in Standard
Pit Size: 3.50 FT x 45.00 FT
Net Size: 2.83 FT x 45.00 FT
Number of Nets per Bay: 1

Installation Instruction included",1,"Pad Eye 3/8 Weldable
3/4"" I.D.Pad Eye 3/8 Weldable",PE38F,8,8,EA,899,PACK,0.13333,0.13333,,181,181,181,,,
,092217BH1515,,BNS38,"BayNets Safety System 3/8in Standard
Pit Size: 3.50 FT x 45.00 FT
Net Size: 2.83 FT x 45.00 FT
Number of Nets per Bay: 1

Installation Instruction included",1,"Quicklink 10mm ZP",QL10ZP,76,76,EA,899,PACK,1.26667,1.26667,,181,181,181,,,
,092217BH1515,,BNS38,"BayNets Safety System 3/8in Standard
Pit Size: 3.50 FT x 45.00 FT
Net Size: 2.83 FT x 45.00 FT
Number of Nets per Bay: 1

Installation Instruction included",1,"Snap Hook 80mm ZP",SH080ZP,10,10,EA,899,PACK,0.16667,0.16667,,181,181,181,,,
,092217BH1515,,BNS38,"BayNets Safety System 3/8in Standard
Pit Size: 3.50 FT x 45.00 FT
Net Size: 2.83 FT x 45.00 FT
Number of Nets per Bay: 1

Installation Instruction included",1,"Snap Hook 120mm ZP",SH120ZP,4,4,EA,899,PACK,0.06667,0.06667,,181,181,181,,,
,092217BH1515,,BNS38,"BayNets Safety System 3/8in Standard
Pit Size: 3.50 FT x 45.00 FT
Net Size: 2.83 FT x 45.00 FT
Number of Nets per Bay: 1

Installation Instruction included",1,"1/2 x 6 Jaw  Eye Turnbuckle",TB126G,2,2,EA,899,PACK,0.03333,0.03333,,181,181,181,,,
,092217BH1515,,BNS38,"BayNets Safety System 3/8in Standard
Pit Size: 3.50 FT x 45.00 FT
Net Size: 2.83 FT x 45.00 FT
Number of Nets per Bay: 1

Installation Instruction included",1,"3/8 Galv Thimble",TM38G,2,2,EA,899,PACK,0.03333,0.03333,,181,181,181,,,
