"Sage Order#","Proposal Number",Tag#,Product,"Product Description","# of Nets","Item Description","Item Code",QuantityPerNet,TotalQuantity,UOM,Step,"Activity Code","Expected Labor Time","Total Expected Labor Time","Actual Labor Time","Shipping Location","Product Location","Inventory Location","Expected Shipping Date",LOT,Notes
,092217BS1515,,BNS38,"BayNets Safety System 3/8in Standard
Pit Size: 3.50 FT x 45.00 FT
Net Size: 2.83 FT x 22.50 FT
Number of Nets per Bay: 2

Connecting Hardware included
Installation Instruction included",2,"820BK HTPP Black 2.5in Sq; MESH COUNT =114 x 14",218-060-06,71.08991,142.17982,SF,050,CUTS,0.12933,0.25866,,181,181,181,,,
,092217BS1515,,BNS38,"BayNets Safety System 3/8in Standard
Pit Size: 3.50 FT x 45.00 FT
Net Size: 2.83 FT x 22.50 FT
Number of Nets per Bay: 2

Connecting Hardware included
Installation Instruction included",2,"Alum Ferrule 1/2in Soft Rope",AL1236,2,4,EA,060,FRP3,0.06667,0.13334,,181,181,181,,,
,092217BS1515,,BNS38,"BayNets Safety System 3/8in Standard
Pit Size: 3.50 FT x 45.00 FT
Net Size: 2.83 FT x 22.50 FT
Number of Nets per Bay: 2

Connecting Hardware included
Installation Instruction included",2,"Hog Ring 1-1/2in Galvanized",HR112G,46,92,EA,070,HOGR,0.15333,0.30666,,181,181,181,,,
,092217BS1515,,BNS38,"BayNets Safety System 3/8in Standard
Pit Size: 3.50 FT x 45.00 FT
Net Size: 2.83 FT x 22.50 FT
Number of Nets per Bay: 2

Connecting Hardware included
Installation Instruction included",2,"Polyester Braid 1/4in x 1000ft BlackPolyester Braid 1/4in x 1000ft",RPYB025BK,52.18667,104.37334,FT,200,MLGO,0.25333,0.50666,,181,181,181,,,
,092217BS1515,,BNS38,"BayNets Safety System 3/8in Standard
Pit Size: 3.50 FT x 45.00 FT
Net Size: 2.83 FT x 22.50 FT
Number of Nets per Bay: 2

Connecting Hardware included
Installation Instruction included",2,"HTPP ProManila 3 Strand 1/2in x 600ft BlackHTPP ProManila 3 Strand 1/2in ;ROPE MARKING : 8 in - 1.42 ft - 22.50 ft - 2.83  ft - 22.50 ft - 1.42 ft - 8 in",RPS3S050BK,53.55657,107.11314,FT,210,CWS,0.3714,0.7428,,181,181,181,,,
,092217BS1515,,BNS38,"BayNets Safety System 3/8in Standard
Pit Size: 3.50 FT x 45.00 FT
Net Size: 2.83 FT x 22.50 FT
Number of Nets per Bay: 2

Connecting Hardware included
Installation Instruction included",2,"1/2in x 2in x 3.25in Mild Steel with Two 5/8in Drill Thrus1/2in x 2in x 3.25in Mild Stee",BN-CABLUG,2,4,EA,899,PACK,0.03333,0.06666,,181,181,181,,,
,092217BS1515,,BNS38,"BayNets Safety System 3/8in Standard
Pit Size: 3.50 FT x 45.00 FT
Net Size: 2.83 FT x 22.50 FT
Number of Nets per Bay: 2

Connecting Hardware included
Installation Instruction included",2,"3/8 Cable Clamp",CC38G,6,12,EA,899,PACK,0.1,0.2,,181,181,181,,,
,092217BS1515,,BNS38,"BayNets Safety System 3/8in Standard
Pit Size: 3.50 FT x 45.00 FT
Net Size: 2.83 FT x 22.50 FT
Number of Nets per Bay: 2

Connecting Hardware included
Installation Instruction included",2,"Pad Eye 3/8 Weldable
3/4"" I.D.Pad Eye 3/8 Weldable",PE38F,8,16,EA,899,PACK,0.13333,0.26666,,181,181,181,,,
,092217BS1515,,BNS38,"BayNets Safety System 3/8in Standard
Pit Size: 3.50 FT x 45.00 FT
Net Size: 2.83 FT x 22.50 FT
Number of Nets per Bay: 2

Connecting Hardware included
Installation Instruction included",2,"Quicklink 10mm ZP",QL10ZP,76,152,EA,899,PACK,1.26667,2.53334,,181,181,181,,,
,092217BS1515,,BNS38,"BayNets Safety System 3/8in Standard
Pit Size: 3.50 FT x 45.00 FT
Net Size: 2.83 FT x 22.50 FT
Number of Nets per Bay: 2

Connecting Hardware included
Installation Instruction included",2,"Snap Hook 80mm ZP",SH080ZP,10,20,EA,899,PACK,0.16667,0.33334,,181,181,181,,,
