"Sage Order#","Proposal Number",Tag#,Product,"Product Description","# of Nets","Item Description","Item Code",QuantityPerNet,TotalQuantity,UOM,Step,"Activity Code","Expected Labor Time","Total Expected Labor Time","Actual Labor Time","Shipping Location","Product Location","Inventory Location","Expected Shipping Date",LOT,Notes
,092917HL0858,,BNS38,"BayNets Safety System 3/8in Standard;Pit Size: 3.50 FT x 45.00 FT;Net Size: 2.83 FT x 22.50 FT;Number of Bay(s): 1;Number of Systems per Bay: 2;Number of Nets per System: 1;;Connecting Hardware included;Installation Instruction included",1,"69.02 SF PER NET; 69.02 SF PER SYSTEM; 820BK HTPP Black 2.5in Sq; ;MESH COUNT =114 x 14",218-060-06,142.17983,142.17983,SF,050,CUTS,0.12933,0.12933,,181,181,181,,,
,092917HL0858,,BNS38,"BayNets Safety System 3/8in Standard;Pit Size: 3.50 FT x 45.00 FT;Net Size: 2.83 FT x 22.50 FT;Number of Bay(s): 1;Number of Systems per Bay: 2;Number of Nets per System: 1;;Connecting Hardware included;Installation Instruction included",1,"Alum Ferrule 1/2in Soft Rope",AL1236,2,2,EA,060,MFER,0.06667,0.06667,,181,181,181,,,
,092917HL0858,,BNS38,"BayNets Safety System 3/8in Standard;Pit Size: 3.50 FT x 45.00 FT;Net Size: 2.83 FT x 22.50 FT;Number of Bay(s): 1;Number of Systems per Bay: 2;Number of Nets per System: 1;;Connecting Hardware included;Installation Instruction included",1,"46.00 FT PER NET; 46.00 FT PER SYSTEM; Hog Ring 1-1/2in Galvanized",HR112G,92,92,EA,070,HOGR,0.30667,0.30667,,181,181,181,,,
,092917HL0858,,BNS38,"BayNets Safety System 3/8in Standard;Pit Size: 3.50 FT x 45.00 FT;Net Size: 2.83 FT x 22.50 FT;Number of Bay(s): 1;Number of Systems per Bay: 2;Number of Nets per System: 1;;Connecting Hardware included;Installation Instruction included",1,"50.67 FT PER NET; 50.67 FT PER SYSTEM; Polyester Braid 1/4in x 1000ft BlackPolyester Braid 1/4in x 1000ft",RPYB025BK,104.37333,104.37333,FT,200,MLGO,0.50667,0.50667,,181,181,181,,,
,092917HL0858,,BNS38,"BayNets Safety System 3/8in Standard;Pit Size: 3.50 FT x 45.00 FT;Net Size: 2.83 FT x 22.50 FT;Number of Bay(s): 1;Number of Systems per Bay: 2;Number of Nets per System: 1;;Connecting Hardware included;Installation Instruction included",1,"52.00 FT PER NET; 52.00 FT PER SYSTEM; HTPP ProManila 3 Strand 1/2in x 600ft BlackHTPP ProManila 3 Strand 1/2in ;ROPE MARKING : 8 in - 1.42 ft - 22.50 ft - 2.83  ft - 22.50 ft - 1.42 ft - 8 in",RPS3S050BK,107.11313,107.11313,FT,210,CWS,0.74281,0.74281,,181,181,181,,,
,092917HL0858,,BNS38,"BayNets Safety System 3/8in Standard;Pit Size: 3.50 FT x 45.00 FT;Net Size: 2.83 FT x 22.50 FT;Number of Bay(s): 1;Number of Systems per Bay: 2;Number of Nets per System: 1;;Connecting Hardware included;Installation Instruction included",1,"1/2in x 2in x 3.25in Mild Steel with Two 5/8in Drill Thrus1/2in x 2in x 3.25in Mild Stee",BN-CABLUG,2,2,EA,899,PACK,0.03333,0.03333,,181,181,181,,,
,092917HL0858,,BNS38,"BayNets Safety System 3/8in Standard;Pit Size: 3.50 FT x 45.00 FT;Net Size: 2.83 FT x 22.50 FT;Number of Bay(s): 1;Number of Systems per Bay: 2;Number of Nets per System: 1;;Connecting Hardware included;Installation Instruction included",1,"24.00 FT CABLE PER NET;24.00 FT CABLE PER SYSTEM;3/8in x 35ft 7x19 GAC w/ Thimble Eye and Plate Assy, Tape other End
3/8in x 35ft 7x19 GAC w/ Thimb",CAB3835BN,2,2,EA,899,PACK,0.03333,0.03333,,181,181,181,,,
,092917HL0858,,BNS38,"BayNets Safety System 3/8in Standard;Pit Size: 3.50 FT x 45.00 FT;Net Size: 2.83 FT x 22.50 FT;Number of Bay(s): 1;Number of Systems per Bay: 2;Number of Nets per System: 1;;Connecting Hardware included;Installation Instruction included",1,"3/8 Cable Clamp",CC38G,6,6,EA,899,PACK,0.1,0.1,,181,181,181,,,
,092917HL0858,,BNS38,"BayNets Safety System 3/8in Standard;Pit Size: 3.50 FT x 45.00 FT;Net Size: 2.83 FT x 22.50 FT;Number of Bay(s): 1;Number of Systems per Bay: 2;Number of Nets per System: 1;;Connecting Hardware included;Installation Instruction included",1,"3.00 PER SYSTEM;Pad Eye 3/8 Weldable
3/4"" I.D.Pad Eye 3/8 Weldable",PE38F,6,6,EA,899,PACK,0.1,0.1,,181,181,181,,,
,092917HL0858,,BNS38,"BayNets Safety System 3/8in Standard;Pit Size: 3.50 FT x 45.00 FT;Net Size: 2.83 FT x 22.50 FT;Number of Bay(s): 1;Number of Systems per Bay: 2;Number of Nets per System: 1;;Connecting Hardware included;Installation Instruction included",1,"20.00 PER SYSTEM;Quicklink 10mm ZP",QL10ZP,40,40,EA,899,PACK,0.66667,0.66667,,181,181,181,,,
