"Sage Order#","Proposal Number",Tag#,Product,"Product Description","# of Nets","Item Description","Item Code",QuantityPerNet,TotalQuantity,UOM,Step,"Activity Code","Expected Labor Time","Total Expected Labor Time","Actual Labor Time","Shipping Location","Product Location","Inventory Location","Expected Shipping Date",LOT,Notes,"Ship Weight","Material Cost","Labor Cost"
,100917BH1524,T22-1234,WNC,"Web Net-Custom; Size: 10.00 FT x 11.00 FT; Color: 2; Border: Snap Hook 7/16in x 120mm SS  With #2 Spur Long Barrel Eyelet & W",110,"2in nylon black",WNY200BK,627,68970,FT,140,CUTL,0,0,,181,181,430,,,,0.03,999999999,999999999
,100917BH1524,T22-1234,WNC,"Web Net-Custom; Size: 10.00 FT x 11.00 FT; Color: 2; Border: Snap Hook 7/16in x 120mm SS  With #2 Spur Long Barrel Eyelet & W",110,"SS 7/16"" Grommet",GMT-SP2,62.25,6847.5,EA,240,GRMT,6.3,693,,181,181,181,,,,0.006,999999999,999999999
,100917BH1524,T22-1234,WNC,"Web Net-Custom; Size: 10.00 FT x 11.00 FT; Color: 2; Border: Snap Hook 7/16in x 120mm SS  With #2 Spur Long Barrel Eyelet & W",110,"138 Nylon",THNY138BK,0.53948,59.3428,LB,250,SEWT,0,0,,181,181,000,,,,1,999999999,999999999
,100917BH1524,T22-1234,WNC,"Web Net-Custom; Size: 10.00 FT x 11.00 FT; Color: 2; Border: Snap Hook 7/16in x 120mm SS  With #2 Spur Long Barrel Eyelet & W",110,"120mm Snap Hooks ZP",SH120SS,4,440,EA,320,ASY,0,0,,181,181,181,,,,,999999999,999999999
,100917BH1524,,WNC,"Web Net-Custom; Size: 13.00 FT x 15.00 FT; Color: 1.75; Border: 2 in HD, Die Cast Cam Buckle,  With #2 Spur Eyelet & Washer Black",112,"1.75in nylon black, slotted",WNYS175BK,912,102144,FT,140,CUTL,0,0,,181,181,000,,,,0.03,999999999,999999999
,100917BH1524,,WNC,"Web Net-Custom; Size: 13.00 FT x 15.00 FT; Color: 1.75; Border: 2 in HD, Die Cast Cam Buckle,  With #2 Spur Eyelet & Washer Black",112,"Black Coated Zinc 7/16"" Grommet",GMT-SP2-BK,84.0625,9415,EA,240,GRMT,11.2,1254.4,,181,181,000,,,,0.01,999999999,999999999
,100917BH1524,,WNC,"Web Net-Custom; Size: 13.00 FT x 15.00 FT; Color: 1.75; Border: 2 in HD, Die Cast Cam Buckle,  With #2 Spur Eyelet & Washer Black",112,"138 Nylon",THNY138BK,0.98392,110.19904,LB,250,SEWT,0,0,,181,181,000,,,,1,999999999,999999999
,100917BH1524,,WNC,"Web Net-Custom; Size: 13.00 FT x 15.00 FT; Color: 1.75; Border: 2 in HD, Die Cast Cam Buckle,  With #2 Spur Eyelet & Washer Black",112,"2 in HD, Die Cast Cam Buckle, Silver Zinc ",CB200HD,4,448,EA,320,ASY,0,0,,181,181,000,,,,,999999999,999999999
,100917BH1524,T15,WNC,"Web Net-Custom; Size: 13.00 FT x 14.00 FT; Color: 1.5; Border: Snap Hook Size 3/8"", OAL of 4""  With #2 Spur Eyelet & Washer Black",11,"1.5in polyester green",WPY150GN,763,8393,FT,140,CUTL,0,0,,181,181,181,,,,,999999999,999999999
,100917BH1524,T15,WNC,"Web Net-Custom; Size: 13.00 FT x 14.00 FT; Color: 1.5; Border: Snap Hook Size 3/8"", OAL of 4""  With #2 Spur Eyelet & Washer Black",11,"Black Coated Zinc 7/16"" Grommet",GMT-SP2-BK,65.95,725.45,EA,240,GRMT,10.8,118.8,,181,181,000,,,,0.01,999999999,999999999
,100917BH1524,T15,WNC,"Web Net-Custom; Size: 13.00 FT x 14.00 FT; Color: 1.5; Border: Snap Hook Size 3/8"", OAL of 4""  With #2 Spur Eyelet & Washer Black",11,"138 Polyester",THPY138BK,0.60968,6.70648,LB,250,SEWT,0,0,,181,181,000,,,,1.18,999999999,999999999
,100917BH1524,T15,WNC,"Web Net-Custom; Size: 13.00 FT x 14.00 FT; Color: 1.5; Border: Snap Hook Size 3/8"", OAL of 4""  With #2 Spur Eyelet & Washer Black",11,"Snap Hook 3/8in x 4in SS Wire Lever Snap Hook",SH384SS,4,44,EA,320,ASY,0.648,7.128,,181,181,000,,,,,999999999,999999999
