"Sage Order#","Proposal Number",Tag#,Product,"Product Description","# of Nets","Item Description","Item Code",QuantityPerNet,TotalQuantity,UOM,Step,"Activity Code","Expected Labor Time","Total Expected Labor Time","Actual Labor Time","Shipping Location","Product Location","Inventory Location","Expected Shipping Date",LOT,Notes,"Ship Weight","Material Cost","Labor Cost"
,103017HL0819,,BNS38,"BayNets Safety System 3/8in Standard;Pit Size: 4.00 FT x 45.00 FT;Net Size: 3.33 FT x 45.00 FT;Number of Bay(s): 1;Number of System(s) per Bay: 1;Number of Net(s) per System: 1;;Installation Instruction included",1,"160.05 SF PER NET; 160.05 SF PER SYSTEM; 820BK HTPP Black 2.5in Sq; ;MESH COUNT =228 x 17",218-060-06,164.85493,164.85493,SF,050,CUTS,0.13067,0.13067,,181,181,181,,,,,34.15794,5.88
,103017HL0819,,BNS38,"BayNets Safety System 3/8in Standard;Pit Size: 4.00 FT x 45.00 FT;Net Size: 3.33 FT x 45.00 FT;Number of Bay(s): 1;Number of System(s) per Bay: 1;Number of Net(s) per System: 1;;Installation Instruction included",1,"Alum Ferrule 1/2in Soft Rope",AL1236,2,2,EA,060,MFER,0.06667,0.06667,,181,181,181,,,,,0.4864,3
,103017HL0819,,BNS38,"BayNets Safety System 3/8in Standard;Pit Size: 4.00 FT x 45.00 FT;Net Size: 3.33 FT x 45.00 FT;Number of Bay(s): 1;Number of System(s) per Bay: 1;Number of Net(s) per System: 1;;Installation Instruction included",1,"83.00 FT PER NET; 83.00 FT PER SYSTEM; Hog Ring 1-1/2in Galvanized",HR112G,83,83,EA,070,HOGR,0.27667,0.27667,,181,181,181,,,,,6.0009,12.45
,103017HL0819,,BNS38,"BayNets Safety System 3/8in Standard;Pit Size: 4.00 FT x 45.00 FT;Net Size: 3.33 FT x 45.00 FT;Number of Bay(s): 1;Number of System(s) per Bay: 1;Number of Net(s) per System: 1;;Installation Instruction included",1,"96.67 FT PER NET; 96.67 FT PER SYSTEM; Polyester Braid 1/4in x 1000ft BlackPolyester Braid 1/4in x 1000ft",RPYB025BK,99.56667,99.56667,FT,200,MLGO,0.48333,0.48333,,181,181,181,,,,,3.98267,21.75
,103017HL0819,,BNS38,"BayNets Safety System 3/8in Standard;Pit Size: 4.00 FT x 45.00 FT;Net Size: 3.33 FT x 45.00 FT;Number of Bay(s): 1;Number of System(s) per Bay: 1;Number of Net(s) per System: 1;;Installation Instruction included",1,"98.00 FT PER NET; 98.00 FT PER SYSTEM; HTPP ProManila 3 Strand 1/2in x 600ft BlackHTPP ProManila 3 Strand 1/2in ;ROPE MARKING : 8 in - 1.67 ft - 45.00 ft - 3.33  ft - 45.00 ft - 1.67 ft - 8 in",RPS3S050BK,100.93657,100.93657,FT,210,CWS,0.69998,0.69998,,181,181,181,,,,,8.12539,31.49893
,103017HL0819,,BNS38,"BayNets Safety System 3/8in Standard;Pit Size: 4.00 FT x 45.00 FT;Net Size: 3.33 FT x 45.00 FT;Number of Bay(s): 1;Number of System(s) per Bay: 1;Number of Net(s) per System: 1;;Installation Instruction included",1,"1/2in x 2in x 3.25in Mild Steel with Two 5/8in Drill Thrus1/2in x 2in x 3.25in Mild Stee",BN-CABLUG,2,2,EA,899,PACK,0.03333,0.03333,,181,181,181,,,,,8.5,1.5
,103017HL0819,,BNS38,"BayNets Safety System 3/8in Standard;Pit Size: 4.00 FT x 45.00 FT;Net Size: 3.33 FT x 45.00 FT;Number of Bay(s): 1;Number of System(s) per Bay: 1;Number of Net(s) per System: 1;;Installation Instruction included",1,"3/8 Cable Clamp",CC38G,6,6,EA,899,PACK,0.1,0.1,,181,181,181,,,,,2.22,4.5
,103017HL0819,,BNS38,"BayNets Safety System 3/8in Standard;Pit Size: 4.00 FT x 45.00 FT;Net Size: 3.33 FT x 45.00 FT;Number of Bay(s): 1;Number of System(s) per Bay: 1;Number of Net(s) per System: 1;;Installation Instruction included",1,"Pad Eye 3/8 Weldable
3/4"" I.D.Pad Eye 3/8 Weldable",PE38F,8,8,EA,899,PACK,0.13333,0.13333,,181,181,181,,,,,13.6,6
,103017HL0819,,BNS38,"BayNets Safety System 3/8in Standard;Pit Size: 4.00 FT x 45.00 FT;Net Size: 3.33 FT x 45.00 FT;Number of Bay(s): 1;Number of System(s) per Bay: 1;Number of Net(s) per System: 1;;Installation Instruction included",1,"Quicklink 10mm ZP",QL10ZP,76,76,EA,899,PACK,1.26667,1.26667,,181,181,181,,,,,44.84,57
,103017HL0819,,BNS38,"BayNets Safety System 3/8in Standard;Pit Size: 4.00 FT x 45.00 FT;Net Size: 3.33 FT x 45.00 FT;Number of Bay(s): 1;Number of System(s) per Bay: 1;Number of Net(s) per System: 1;;Installation Instruction included",1,"Snap Hook 80mm ZP",SH080ZP,10,10,EA,899,PACK,0.16667,0.16667,,181,181,181,,,,,2.25,7.5
,103017HL0819,,BNS38,"BayNets Safety System 3/8in Standard;Pit Size: 4.00 FT x 45.00 FT;Net Size: 3.33 FT x 45.00 FT;Number of Bay(s): 1;Number of System(s) per Bay: 1;Number of Net(s) per System: 1;;Installation Instruction included",1,"Snap Hook 120mm ZP",SH120ZP,4,4,EA,899,PACK,0.06667,0.06667,,181,181,181,,,,,1.952,3
,103017HL0819,,BNS38,"BayNets Safety System 3/8in Standard;Pit Size: 4.00 FT x 45.00 FT;Net Size: 3.33 FT x 45.00 FT;Number of Bay(s): 1;Number of System(s) per Bay: 1;Number of Net(s) per System: 1;;Installation Instruction included",1,"1/2 x 6 Jaw  Eye Turnbuckle",TB126G,2,2,EA,899,PACK,0.03333,0.03333,,181,181,181,,,,,7.98,1.5
,103017HL0819,,BNS38,"BayNets Safety System 3/8in Standard;Pit Size: 4.00 FT x 45.00 FT;Net Size: 3.33 FT x 45.00 FT;Number of Bay(s): 1;Number of System(s) per Bay: 1;Number of Net(s) per System: 1;;Installation Instruction included",1,"3/8 Galv Thimble",TM38G,2,2,EA,899,PACK,0.03333,0.03333,,181,181,181,,,,,0.3,1.5
