"Sage Order#","Proposal Number",Tag#,Product,"Product Description","# of Nets","Item Description","Item Code",QuantityPerNet,TotalQuantity,UOM,Step,"Activity Code","Expected Labor Time","Total Expected Labor Time","Actual Labor Time","Shipping Location","Product Location","Inventory Location","Expected Shipping Date",LOT,Notes,"Ship Weight","Material Cost","Labor Cost"
,103017JO0823,,BNS38DF,"BayNets Safety System 3/8in Middle/Floating Drain Pan;Pit Size: 4.00 FT x 11.00 FT;Net Size: 3.33 FT x 5.50 FT;Number of Bay(s): 1;Number of System(s) per Bay: 1;Number of Net(s) per System: 2;1 Drain Pan(s) of Length: .00 FT;Connecting Hardware included;Installation Instruction included",1,"20.17 SF PER NET; 40.34 SF PER SYSTEM; 820BK HTPP Black 2.5in Sq; ;MESH COUNT =28 x 17",218-060-06,41.55157,41.55157,SF,050,CUTS,0.04,0.04,,430,181,181,,,,,8.60949,1.8
,103017JO0823,,BNS38DF,"BayNets Safety System 3/8in Middle/Floating Drain Pan;Pit Size: 4.00 FT x 11.00 FT;Net Size: 3.33 FT x 5.50 FT;Number of Bay(s): 1;Number of System(s) per Bay: 1;Number of Net(s) per System: 2;1 Drain Pan(s) of Length: .00 FT;Connecting Hardware included;Installation Instruction included",1,"Alum Ferrule 1/2in Soft Rope",AL1236,2,2,EA,060,MFER,0.06667,0.06667,,430,181,181,,,,,0.4864,3
,103017JO0823,,BNS38DF,"BayNets Safety System 3/8in Middle/Floating Drain Pan;Pit Size: 4.00 FT x 11.00 FT;Net Size: 3.33 FT x 5.50 FT;Number of Bay(s): 1;Number of System(s) per Bay: 1;Number of Net(s) per System: 2;1 Drain Pan(s) of Length: .00 FT;Connecting Hardware included;Installation Instruction included",1,"20.00 FT PER NET; 40.00 FT PER SYSTEM; Hog Ring 1-1/2in Galvanized",HR112G,40,40,EA,070,HOGR,0.13333,0.13333,,430,181,181,,,,,2.892,6
,103017JO0823,,BNS38DF,"BayNets Safety System 3/8in Middle/Floating Drain Pan;Pit Size: 4.00 FT x 11.00 FT;Net Size: 3.33 FT x 5.50 FT;Number of Bay(s): 1;Number of System(s) per Bay: 1;Number of Net(s) per System: 2;1 Drain Pan(s) of Length: .00 FT;Connecting Hardware included;Installation Instruction included",1,"17.67 FT PER NET; 35.33 FT PER SYSTEM; MFP Braid 1/4in x 1000ft Black",RPYB025BK,36.39333,36.39333,FT,080,MLGO,0.17667,0.17667,,430,181,181,,,,,1.45573,7.95
,103017JO0823,,BNS38DF,"BayNets Safety System 3/8in Middle/Floating Drain Pan;Pit Size: 4.00 FT x 11.00 FT;Net Size: 3.33 FT x 5.50 FT;Number of Bay(s): 1;Number of System(s) per Bay: 1;Number of Net(s) per System: 2;1 Drain Pan(s) of Length: .00 FT;Connecting Hardware included;Installation Instruction included",1,"19.00 FT PER NET; 37.99 FT PER SYSTEM; HTPP ProManila 3 Strand 1/2in x 600ft BlackHTPP ProManila 3 Strand 1/2in ;ROPE MARKING : 8 in - 1.67 ft - 5.50 ft - 3.33  ft - 5.50 ft - 1.67 ft - 8 in",RPS3S050BK,39.13313,39.13313,FT,200,CWS,0.27138,0.27138,,430,181,181,,,,,3.15022,12.21214
,103017JO0823,,BNS38DF,"BayNets Safety System 3/8in Middle/Floating Drain Pan;Pit Size: 4.00 FT x 11.00 FT;Net Size: 3.33 FT x 5.50 FT;Number of Bay(s): 1;Number of System(s) per Bay: 1;Number of Net(s) per System: 2;1 Drain Pan(s) of Length: .00 FT;Connecting Hardware included;Installation Instruction included",1,"1/2in x 2in x 3.25in Mild Steel with Two 5/8in Drill Thrus1/2in x 2in x 3.25in Mild Stee",BN-CABLUG,2,2,EA,899,PACK,0.03333,0.03333,,430,181,181,,,,,8.5,1.5
,103017JO0823,,BNS38DF,"BayNets Safety System 3/8in Middle/Floating Drain Pan;Pit Size: 4.00 FT x 11.00 FT;Net Size: 3.33 FT x 5.50 FT;Number of Bay(s): 1;Number of System(s) per Bay: 1;Number of Net(s) per System: 2;1 Drain Pan(s) of Length: .00 FT;Connecting Hardware included;Installation Instruction included",1,"3/8in x 20ft 7x19 GAC w/ Thimble Eye and Plate Assy, Tape other End3/8in x 20ft 7x19 GAC w/ Thimb",CAB3820BN,2,2,EA,899,PACK,0.03333,0.03333,,430,181,181,,,,,31.6,1.5
,103017JO0823,,BNS38DF,"BayNets Safety System 3/8in Middle/Floating Drain Pan;Pit Size: 4.00 FT x 11.00 FT;Net Size: 3.33 FT x 5.50 FT;Number of Bay(s): 1;Number of System(s) per Bay: 1;Number of Net(s) per System: 2;1 Drain Pan(s) of Length: .00 FT;Connecting Hardware included;Installation Instruction included",1,"3/8 Cable Clamp",CC38G,6,6,EA,899,PACK,0.1,0.1,,430,181,181,,,,,2.22,4.5
,103017JO0823,,BNS38DF,"BayNets Safety System 3/8in Middle/Floating Drain Pan;Pit Size: 4.00 FT x 11.00 FT;Net Size: 3.33 FT x 5.50 FT;Number of Bay(s): 1;Number of System(s) per Bay: 1;Number of Net(s) per System: 2;1 Drain Pan(s) of Length: .00 FT;Connecting Hardware included;Installation Instruction included",1,"Pad Eye 3/8 Weldable
3/4"" I.D.Pad Eye 3/8 Weldable",PE38F,8,8,EA,899,PACK,0.13333,0.13333,,430,181,181,,,,,13.6,6
,103017JO0823,,BNS38DF,"BayNets Safety System 3/8in Middle/Floating Drain Pan;Pit Size: 4.00 FT x 11.00 FT;Net Size: 3.33 FT x 5.50 FT;Number of Bay(s): 1;Number of System(s) per Bay: 1;Number of Net(s) per System: 2;1 Drain Pan(s) of Length: .00 FT;Connecting Hardware included;Installation Instruction included",1,"Quicklink 10mm ZP",QL10ZP,14,14,EA,899,PACK,0.23333,0.23333,,430,181,181,,,,,8.26,10.5
