"Sage Order#","Proposal Number",Tag#,Product,"Product Description","# of Nets","Item Description","Item Code",QuantityPerNet,TotalQuantity,UOM,Step,"Activity Code","Expected Labor Time","Total Expected Labor Time","Actual Labor Time","Shipping Location","Product Location","Inventory Location","Expected Shipping Date",LOT,Notes,"Ship Weight","Material Cost","Labor Cost"
,111317BH1229,,CN,"Cargo Net; Size: 2.50 FT x 1.25 FT",6,"Webbing Polyester 1in Black",WPY100BK,0.99,5.94,FT,140,CUTL,0,0,,181,181,000,,,,0.0165,999999999,999999999
,111317BH1229,,CN,"Cargo Net; Size: 2.50 FT x 1.25 FT",6,"1250YL HTPP Yellow 2in Sq",209-045-05,18.75,112.5,SF,140,CUTL,0,0,,181,181,000,,,,0.0305,999999999,999999999
,111317BH1229,,CN,"Cargo Net; Size: 2.50 FT x 1.25 FT",6,"Twisted Twine 84 Polyester Yellow",TW84PYYL,45,270,FT,200,MSMO,0,0,,181,181,000,,,,0.005,999999999,999999999
,111317BH1229,,CN,"Cargo Net; Size: 2.50 FT x 1.25 FT",6,"Hog Ring 3/4in Galvanized",HR075G,24,144,EA,240,ASY,0,0,,181,181,000,,,,0.01,999999999,999999999
,111317BH1229,,CN,"Cargo Net; Size: 2.50 FT x 1.25 FT",6,"Tech-12 Braid 1/8in x 600ft Blue - Slack line A,B  C",RTECB012BL,69.31,415.86,FT,250,SEWT,0,0,,181,181,430,,,,0.005,999999999,999999999
,111317BH1229,,CN,"Cargo Net; Size: 2.50 FT x 1.25 FT",6,"Polypropylene 3 Strand 3/8in x 600ft",RPP3S037YL,14,84,FT,250,SEWT,0,0,,181,181,430,,,,0.028,999999999,999999999
,111317BH1229,,CN,"Cargo Net; Size: 2.50 FT x 1.25 FT",6,"1/4 Galv Aircraft Cable",CAB14G,54,324,FT,300,ASY,0,0,,181,181,430,,,,0.11,999999999,999999999
,111317BH1229,,CN,"Cargo Net; Size: 2.50 FT x 1.25 FT",6,"1/4 Galv Cable Clamp",CC14G,30,180,EA,300,ASY,0,0,,181,181,430,,,,0.1,999999999,999999999
,111317BH1229,,CN,"Cargo Net; Size: 2.50 FT x 1.25 FT",6,"3/8 x 2.5 Eyebolt Galv 1-5/8in Thread",EB382.5G,12,72,EA,300,ASY,0,0,,181,181,430,,,,0.2,999999999,999999999
,111317BH1229,,CN,"Cargo Net; Size: 2.50 FT x 1.25 FT",6,"Hex Head Drilling Screw for ERG",ERG-SC38SS,12,72,EA,300,ASY,0,0,,181,181,000,,,,,999999999,999999999
,111317BH1229,,CN,"Cargo Net; Size: 2.50 FT x 1.25 FT",6,"3/8 Flange Nut",FN38,12,72,EA,300,ASY,0,0,,181,181,430,,,,0.018,999999999,999999999
,111317BH1229,,CN,"Cargo Net; Size: 2.50 FT x 1.25 FT",6,"3/8 Flat Washer",FW38,12,72,EA,300,ASY,0,0,,181,181,000,,,,0.016,999999999,999999999
,111317BH1229,,CN,"Cargo Net; Size: 2.50 FT x 1.25 FT",6,"1/4in Alum Sleeve",SWA014,12,72,EA,300,ASY,0,0,,181,181,000,,,,0.02,999999999,999999999
,111317BH1229,,CN,"Cargo Net; Size: 2.50 FT x 1.25 FT",6,"1/4 Thimble Galv",TM14G,18,108,EA,300,ASY,0,0,,181,181,430,,,,0.03,999999999,999999999
,111317BH1229,,CN,"Cargo Net; Size: 2.50 FT x 1.25 FT",6,"3/8 x 6 Jaw  Eye Turnbuckle",TB386G,6,36,EA,300,ASY,0,0,,181,181,430,,,,0.825,999999999,999999999
,111317BH1229,,CN,"Cargo Net; Size: 2.50 FT x 1.25 FT",6,"DH908 Cheek Block Pulley",CB908,48,288,EA,300,ASY,0,0,,181,181,430,,,,0.1,999999999,999999999
,111317BH1229,,CN,"Cargo Net; Size: 2.50 FT x 1.25 FT",6,"Door Bumper Item 8095A25",DB809,12,72,EA,300,ASY,0,0,,181,181,000,,,,0.07,999999999,999999999
,111317BH1229,,CN,"Cargo Net; Size: 2.50 FT x 1.25 FT",6,"1/2 Locknut w/ Nylon Insert",LN12,48,288,EA,300,ASY,0,0,,181,181,000,,,,0.04,999999999,999999999
,111317BH1229,,CN,"Cargo Net; Size: 2.50 FT x 1.25 FT",6,"Quicklink 1/8in ZP",QL18ZP,132,792,EA,300,ASY,0,0,,181,181,000,,,,0.018,999999999,999999999
,111317BH1229,,CN,"Cargo Net; Size: 2.50 FT x 1.25 FT",6,"Rope Cleat 6in Galv",RC6G,6,36,EA,300,ASY,0,0,,181,181,000,,,,0.45,999999999,999999999
,111317BH1229,,CN,"Cargo Net; Size: 2.50 FT x 1.25 FT",6,B124.0,B124.0,48,288,EA,300,ASY,0,0,,181,181,000,,,,0.226,999999999,999999999
,111317BH1229,,CN,"Cargo Net; Size: 2.50 FT x 1.25 FT",6,"Slack line pulley block",CB3083,12,72,EA,300,ASY,0,0,,181,181,430,,,,,999999999,999999999
,111317BH1229,,CN,"Cargo Net; Size: 2.50 FT x 1.25 FT",6,"for top and bottom bracket",GMT-58PLBK,24,144,EA,300,ASY,0,0,,181,181,000,,,,0.01,999999999,999999999
,111317BH1229,,CN,"Cargo Net; Size: 2.50 FT x 1.25 FT",6,HN38HD,HN38HD,12,72,EA,300,ASY,0,0,,181,181,000,,,,0.018,999999999,999999999
,111317BH1229,,CN,"Cargo Net; Size: 2.50 FT x 1.25 FT",6,"for top and bottom bracket",SC38038ASBK,96,576,EA,300,ASY,0,0,,181,181,000,,,,0.0062,999999999,999999999
