"Sage Order#","Proposal Number",Tag#,Product,"Product Description","# of Nets","Item Description","Item Code",QuantityPerNet,TotalQuantity,UOM,Step,"Activity Code","Expected Labor Time","Total Expected Labor Time","Actual Labor Time","Shipping Location","Product Location","Inventory Location","Expected Shipping Date",LOT,Notes,"Ship Weight","Material Cost","Labor Cost"
,111317BS1228,,WPN,"Web Platform Net; Size: 4.00 FT x 3.00 FT; Net Panel: WPN-815BL; Web Ratchet: WPN-WRAT; Web Strap w/ Cam Buckle: WSTPY-C; ",2,"815BL HTPP Blue 2in Sq",218-045-04,24,48,SF,140,CUTL,0.212,0.424,,430,181,181,,,,0.0723,999999999,999999999
,111317BS1228,,WPN,"Web Platform Net; Size: 4.00 FT x 3.00 FT; Net Panel: WPN-815BL; Web Ratchet: WPN-WRAT; Web Strap w/ Cam Buckle: WSTPY-C; ",2,"HTPP 3 Strand 1/2in x 720ft White with Green Tracer (12mm)",RHT3S050WG,29.33,58.66,FT,250,SEWT,7.30233,14.60466,,430,181,181,,,,0.044,999999999,999999999
,111317BS1228,,WPN,"Web Platform Net; Size: 4.00 FT x 3.00 FT; Net Panel: WPN-815BL; Web Ratchet: WPN-WRAT; Web Strap w/ Cam Buckle: WSTPY-C; ",2,"Polyester Braid 1/4in x 1000ft Black",RPYB025BK,28.5,57,FT,250,SEWT,0.18667,0.37334,,430,181,000,,,,0.016,999999999,999999999
,111317BS1228,,WPN,"Web Platform Net; Size: 4.00 FT x 3.00 FT; Net Panel: WPN-815BL; Web Ratchet: WPN-WRAT; Web Strap w/ Cam Buckle: WSTPY-C; ",2,"Webbing Polyester 1in Light Blue",WPY100LB,4,8,FT,250,CUTL,0,0,,430,181,181,,,,,999999999,999999999
,111317BS1228,,WPN,"Web Platform Net; Size: 4.00 FT x 3.00 FT; Net Panel: WPN-815BL; Web Ratchet: WPN-WRAT; Web Strap w/ Cam Buckle: WSTPY-C; ",2,"Webbing Polyester 1.50in Green, 6000lb",WPY150GN,31,62,FT,250,CUTL,0,0,,430,181,181,,,,,999999999,999999999
,111317BS1228,,WPN,"Web Platform Net; Size: 4.00 FT x 3.00 FT; Net Panel: WPN-815BL; Web Ratchet: WPN-WRAT; Web Strap w/ Cam Buckle: WSTPY-C; ",2,"1.5in Flat Hook 10,000lb Vinyl Coated",FH21VC,4,8,EA,320,ASY,0,0,,430,181,181,,,,0.76,999999999,999999999
,111317BS1228,,WPN,"Web Platform Net; Size: 4.00 FT x 3.00 FT; Net Panel: WPN-815BL; Web Ratchet: WPN-WRAT; Web Strap w/ Cam Buckle: WSTPY-C; ",2,"Web Ratchet 1.5in 6K lb, Wide Handle",WRATR36,2,4,EA,320,ASY,1,2,,430,181,181,,,,1.67,999999999,999999999
,111317BS1228,,WPN,"Web Platform Net; Size: 4.00 FT x 3.00 FT; Net Panel: WPN-815BL; Web Ratchet: WPN-WRAT; Web Strap w/ Cam Buckle: WSTPY-C; ",2,"1in Zinc Die Cast Cam Buckle",CB100Z,1,2,EA,320,ASY,1,2,,430,181,000,,,,0.12,999999999,999999999
,111317BS1228,,WPN,"Web Platform Net; Size: 4.00 FT x 3.00 FT; Net Panel: WPN-815BL; Web Ratchet: WPN-WRAT; Web Strap w/ Cam Buckle: WSTPY-C; ",5,"815BL HTPP Blue 2in Sq",218-045-04,60,300,SF,140,CUTL,0.28,1.4,,430,181,181,,,,0.0723,999999999,999999999
,111317BS1228,,WPN,"Web Platform Net; Size: 4.00 FT x 3.00 FT; Net Panel: WPN-815BL; Web Ratchet: WPN-WRAT; Web Strap w/ Cam Buckle: WSTPY-C; ",5,"Polyester Braid 1/4in x 1000ft Black",RPYB025BK,70.5,352.5,FT,250,SEWT,0.46667,2.33335,,430,181,000,,,,0.016,999999999,999999999
,111317BS1228,,WPN,"Web Platform Net; Size: 4.00 FT x 3.00 FT; Net Panel: WPN-815BL; Web Ratchet: WPN-WRAT; Web Strap w/ Cam Buckle: WSTPY-C; ",5,"HTPP 3 Strand 1/2in x 720ft White with Green Tracer (12mm)",RHT3S050WG,71.33,356.65,FT,250,SEWT,7.44233,37.21165,,430,181,181,,,,0.044,999999999,999999999
,111317BS1228,,WPN,"Web Platform Net; Size: 4.00 FT x 3.00 FT; Net Panel: WPN-815BL; Web Ratchet: WPN-WRAT; Web Strap w/ Cam Buckle: WSTPY-C; ",5,"Webbing Polyester 1in Light Blue",WPY100LB,4,20,FT,250,CUTL,0,0,,430,181,181,,,,,999999999,999999999
,111317BS1228,,WPN,"Web Platform Net; Size: 4.00 FT x 3.00 FT; Net Panel: WPN-815BL; Web Ratchet: WPN-WRAT; Web Strap w/ Cam Buckle: WSTPY-C; ",5,"Webbing Polyester 1.50in Green, 6000lb",WPY150GN,31,155,FT,250,CUTL,0,0,,430,181,181,,,,,999999999,999999999
,111317BS1228,,WPN,"Web Platform Net; Size: 4.00 FT x 3.00 FT; Net Panel: WPN-815BL; Web Ratchet: WPN-WRAT; Web Strap w/ Cam Buckle: WSTPY-C; ",5,"1in Zinc Die Cast Cam Buckle",CB100Z,1,5,EA,320,ASY,1,5,,430,181,000,,,,0.12,999999999,999999999
,111317BS1228,,WPN,"Web Platform Net; Size: 4.00 FT x 3.00 FT; Net Panel: WPN-815BL; Web Ratchet: WPN-WRAT; Web Strap w/ Cam Buckle: WSTPY-C; ",5,"1.5in Flat Hook 10,000lb Vinyl Coated",FH21VC,4,20,EA,320,ASY,0,0,,430,181,181,,,,0.76,999999999,999999999
,111317BS1228,,WPN,"Web Platform Net; Size: 4.00 FT x 3.00 FT; Net Panel: WPN-815BL; Web Ratchet: WPN-WRAT; Web Strap w/ Cam Buckle: WSTPY-C; ",5,"Web Ratchet 1.5in 6K lb, Wide Handle",WRATR36,2,10,EA,320,ASY,1,5,,430,181,181,,,,1.67,999999999,999999999
