"Sage Order#","Proposal Number",Tag#,Product,"Product Description","# of Nets","Item Description","Item Code",QuantityPerNet,TotalQuantity,UOM,Step,"Activity Code","Expected Labor Time","Total Expected Labor Time","Actual Labor Time","Shipping Location","Product Location","Inventory Location","Expected Shipping Date",LOT,Notes,"Ship Weight","Material Cost","Labor Cost"
,120117HL1019,,WPN,"Web Platform Net; Size: 15.00 FT x 30.00 FT; Net Panel: WPN-815BL; Web Ratchet: WPN-WRAT; Web Strap w/ Cam Buckle: WSTPY-C; ",1,"815BL HTPP Blue 2in Sq",218-045-04,450,450,SF,140,CUTL,0.41,0.41,,181,181,181,,,,0.0723,999999999,999999999
,120117HL1019,,WPN,"Web Platform Net; Size: 15.00 FT x 30.00 FT; Net Panel: WPN-815BL; Web Ratchet: WPN-WRAT; Web Strap w/ Cam Buckle: WSTPY-C; ",1,"HTPP 3 Strand 1/2in x 720ft White with Green Tracer (12mm)",RHT3S050WG,91.33,91.33,FT,250,SEWT,7.509,7.509,,181,181,181,,,,0.044,999999999,999999999
,120117HL1019,,WPN,"Web Platform Net; Size: 15.00 FT x 30.00 FT; Net Panel: WPN-815BL; Web Ratchet: WPN-WRAT; Web Strap w/ Cam Buckle: WSTPY-C; ",1,"Polyester Braid 1/4in x 1000ft Black",RPYB025BK,90.5,90.5,FT,250,SEWT,0.6,0.6,,181,181,000,,,,0.016,999999999,999999999
,120117HL1019,,WPN,"Web Platform Net; Size: 15.00 FT x 30.00 FT; Net Panel: WPN-815BL; Web Ratchet: WPN-WRAT; Web Strap w/ Cam Buckle: WSTPY-C; ",1,"Webbing Polyester 1in Light Blue",WPY100LB,4,4,FT,250,CUTL,0,0,,181,181,181,,,,,999999999,999999999
,120117HL1019,,WPN,"Web Platform Net; Size: 15.00 FT x 30.00 FT; Net Panel: WPN-815BL; Web Ratchet: WPN-WRAT; Web Strap w/ Cam Buckle: WSTPY-C; ",1,"Webbing Polyester 1.50in Green, 6000lb",WPY150GN,69,69,FT,250,CUTL,0,0,,181,181,181,,,,,999999999,999999999
,120117HL1019,,WPN,"Web Platform Net; Size: 15.00 FT x 30.00 FT; Net Panel: WPN-815BL; Web Ratchet: WPN-WRAT; Web Strap w/ Cam Buckle: WSTPY-C; ",1,"1.5in Flat Hook 10,000lb Vinyl Coated",FH21VC,4,4,EA,320,ASY,0,0,,181,181,181,,,,0.76,999999999,999999999
,120117HL1019,,WPN,"Web Platform Net; Size: 15.00 FT x 30.00 FT; Net Panel: WPN-815BL; Web Ratchet: WPN-WRAT; Web Strap w/ Cam Buckle: WSTPY-C; ",1,"1in Zinc Die Cast Cam Buckle",CB100Z,1,1,EA,320,ASY,1,1,,181,181,000,,,,0.12,999999999,999999999
,120117HL1019,,WPN,"Web Platform Net; Size: 15.00 FT x 30.00 FT; Net Panel: WPN-815BL; Web Ratchet: WPN-WRAT; Web Strap w/ Cam Buckle: WSTPY-C; ",1,"Web Ratchet 1.5in 6K lb, Wide Handle",WRATR36,2,2,EA,320,ASY,1,1,,181,181,181,,,,1.67,999999999,999999999
,120117HL1019,,WPN,"Web Platform Net; Size: 20.00 FT x 30.00 FT; Net Panel: WPN-815BL; Web Ratchet: WPN-WRAT; Web Strap w/ Cam Buckle: WSTPY-C; ",1,"815BL HTPP Blue 2in Sq",218-045-04,600,600,SF,140,CUTL,0.45,0.45,,181,181,181,,,,0.0723,999999999,999999999
,120117HL1019,,WPN,"Web Platform Net; Size: 20.00 FT x 30.00 FT; Net Panel: WPN-815BL; Web Ratchet: WPN-WRAT; Web Strap w/ Cam Buckle: WSTPY-C; ",1,"HTPP 3 Strand 1/2in x 720ft White with Green Tracer (12mm)",RHT3S050WG,101.33,101.33,FT,250,SEWT,7.54233,7.54233,,181,181,181,,,,0.044,999999999,999999999
