Action,"Action Qty","Alt Qty","Item Code","Item Desc","Procurement Type",WareHouse,"On Hand Qty","Re-Order Point","Maximum Qty","On SO (5 Days)","Total On Hand","Alter Id",Title,"Product Line Desc","Item Type"
0,0,0,1117830,"InCord HWSC20BK 1"" x 20' Web S","Make to Order",000,290,N/A,0,5,4548,65cbc424-fe5e-52b7-bbec-d227bc418c63,N/A,"Web Net",N/A
0,0,0,1117830,"InCord HWSC20BK 1"" x 20' Web S","Make to Order",003,4243,N/A,0,,4548,d4f957ef-5a2a-5b34-a6fa-746ec1af1da3,N/A,"Web Net",N/A
0,0,0,1117830,"InCord HWSC20BK 1"" x 20' Web S","Make to Order",181,15,N/A,0,15,4548,55faed4a-12b4-5818-9911-4e89cca3034c,N/A,"Web Net",N/A
0,0,0,1138851,"InCord H500-050BK 5x50 Black N","Make to Order",003,5,N/A,0,,5,561a856a-aa9a-5e24-be60-b9d5bca7ed8a,N/A,Netting,N/A
0,0,0,1138861,"InCord H500-100BK 5x100 Black","Make to Order",003,72,N/A,0,,72,855b0ed6-165d-56cc-9070-6c4dbb28fd9c,N/A,Netting,N/A
0,0,0,15833,"500FR HTPP 1.77in Sq Mesh Blac","Make to Order",000,100,N/A,0,,100,6621321c-79f4-5b13-81e3-a8399e702bc5,N/A,Netting,N/A
0,0,0,200101979,"Cross Joint Replacement Kit -","Make to Stock",003,13,N/A,0,,13,1e12ead2-972b-5afd-9a88-2cc1b974dbff,N/A,Netform,N/A
0,0,0,200140064,"Net Climbing 915x1194 Red/Blue","Make to Stock",000,4,N/A,0,,4,27399ed0-713d-5a90-9a9c-a351e24b47fa,N/A,Netform,N/A
0,0,0,200140065,"Net Climbing 915x1714 Red/Blue","Make to Stock",000,1,N/A,0,1,3,14d7a70f-e0e3-5374-9c59-6f16a0370b29,N/A,Netform,N/A
0,0,0,200140065,"Net Climbing 915x1714 Red/Blue","Make to Stock",003,2,N/A,0,,3,3000a197-b089-5b63-8716-8779b6f92b87,N/A,Netform,N/A
0,0,0,200142244,"Net F/ Net Climber Deck Access","Make to Stock",000,1,N/A,0,1,4,db6606c3-eef2-5329-aa40-2374654f9828,N/A,Netform,N/A
0,0,0,200142244,"Net F/ Net Climber Deck Access","Make to Stock",003,3,N/A,0,,4,cba5252c-4843-5cff-8aeb-6b0abb57a62d,N/A,Netform,N/A
0,0,0,200142245,"Net F/ Net Climber Deck Access","Make to Stock",000,1,N/A,0,,4,3a9bc3d0-6224-5128-80e3-597f67447ba0,N/A,Netform,N/A
0,0,0,200142245,"Net F/ Net Climber Deck Access","Make to Stock",003,3,N/A,0,,4,45983554-0665-551c-a26d-02edc388f64b,N/A,Netform,N/A
0,0,0,200148787,"Net F/Cargo Bridge Red/Blue","Make to Stock",003,4,N/A,0,,4,585f1e93-c02c-5347-a510-d87c05036817,N/A,Netform,N/A
0,0,0,200151625,"Octopus Rope Climber Red/Blue","Make to Stock",003,12,N/A,0,,12,91bf7ebc-363c-531a-a5a0-59a40ed09952,N/A,Netform,N/A
0,0,0,200163792,"Net Rope F/Web Wall Red","Make to Stock",000,2,N/A,0,,2,537167f4-d4ff-54b7-813e-6ce51c5bcdd2,N/A,Netform,N/A
0,0,0,200191204,"Rope Net F/NRG Taco Climber Re","Make to Stock",003,2,N/A,0,,2,8c60b3d4-8e85-5afe-8f0a-8733d196ef32,N/A,Netform,N/A
0,0,0,200301601,"Rope F/X-Climb Net","Make to Stock",000,8,N/A,0,2,16,f3fe3ad5-d546-588a-9471-9e6a357bc7e8,N/A,Netform,N/A
0,0,0,200301601,"Rope F/X-Climb Net","Make to Stock",003,8,N/A,0,,16,904a7d37-79cd-55d6-94d2-30b71f28ec33,N/A,Netform,N/A
0,0,0,200302376,"Net F/Stacked Timber Rope Wall","Make to Stock",000,1,N/A,0,1,5,b2630dff-48b3-5cf2-9aed-8574c9a715b4,N/A,Netform,N/A
0,0,0,200302376,"Net F/Stacked Timber Rope Wall","Make to Stock",003,4,N/A,0,,5,3947d028-a4ae-5f6e-ae06-cf41417977f5,N/A,Netform,N/A
0,0,0,200303942,"NRG Net Wing Wall Red","Make to Stock",003,10,N/A,0,,10,5e5fb557-b0cb-53cd-98fd-6d553503fb21,N/A,Netform,N/A
transfer,0,0,250-3X100,"Custom Safety Net","Make to Stock",430,15,N/A,0,,15,7e188d7d-da77-5b91-9819-ff3b33939a19,"250-3X100 transfer 0 to 430",Netting,N/A
transfer,15,"15.0 EA",250-3X100,"Custom Safety Net","Make to Stock",000,,N/A,15,,15,c6d309e9-43bf-5f1d-986e-f453594805d1,"250-3X100 transfer 15 to 000",Netting,N/A
